cod_ine,anio,inmuebles_total,inmuebles_persona_fisica,inmuebles_sociedades,inmuebles_otras_entidades,fuente
46110,2024,13424,12853,385,186,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46110,2025,13434,12844,416,174,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46131,2024,54102,50783,2155,1164,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46131,2025,54173,50978,2072,1123,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46145,2024,18134,17169,754,211,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46145,2025,18186,17236,738,212,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46159,2024,13978,13263,442,273,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46159,2025,13992,13300,430,262,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46169,2024,20155,19368,670,117,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46169,2025,20256,19388,754,114,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46181,2024,19682,18410,1046,226,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46181,2025,19707,18522,965,220,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46184,2024,19206,18181,644,381,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46184,2025,19217,18188,648,381,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46190,2024,31856,29089,1301,1466,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46190,2025,32045,29240,1362,1443,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46220,2024,40426,38157,1236,1033,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46220,2025,40631,38477,1142,1012,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46235,2024,23089,22361,449,279,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46235,2025,23081,22390,427,264,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46244,2024,37522,35799,1322,401,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46244,2025,37644,35954,1289,401,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46250,2024,418725,389973,22437,6315,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
46250,2025,421244,391504,23414,6326,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
47186,2024,159306,152969,5139,1198,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
47186,2025,160368,154192,5007,1169,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
49275,2024,38712,37519,778,415,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
49275,2025,38748,37583,752,413,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
50297,2024,330947,317401,12114,1432,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
50297,2025,332683,318864,12417,1402,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
51001,2024,24945,21372,835,2738,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
51001,2025,25086,21537,741,2808,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
52001,2024,26948,21986,919,4043,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
52001,2025,27179,22180,963,4036,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
