cod_ine,anio,inmuebles_total,inmuebles_persona_fisica,inmuebles_sociedades,inmuebles_otras_entidades,fuente
08266,2024,23312,22117,925,270,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08266,2025,23429,22225,935,269,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08270,2024,18950,16330,2288,332,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08270,2025,19022,16465,2219,338,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08279,2024,98400,88248,8808,1344,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08279,2025,98551,89029,8179,1343,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08298,2024,19283,16838,2002,443,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08298,2025,19447,16968,1948,531,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08301,2024,26073,25060,907,106,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08301,2025,26577,25498,961,118,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08305,2024,17922,16232,1333,357,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08305,2025,18092,16394,1324,374,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08307,2024,31768,28916,2371,481,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
08307,2025,32488,29459,2459,570,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
09018,2024,19094,18382,532,180,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
09018,2025,19116,18498,434,184,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
09059,2024,94362,90211,2367,1784,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
09059,2025,95247,91070,2405,1772,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
09219,2024,20489,19878,404,207,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
09219,2025,20512,19905,402,205,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
10037,2024,54348,51105,977,2266,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
10037,2025,54556,51335,1017,2204,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
10148,2024,22006,20687,458,861,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
10148,2025,22041,20781,411,849,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
11004,2024,54738,49164,2265,3309,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
11004,2025,54862,49447,2160,3255,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
11006,2024,15399,14125,555,719,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
11006,2025,15467,14213,544,710,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
11012,2024,51825,47131,2210,2484,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
11012,2025,52092,47377,2212,2503,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
11015,2024,43210,39984,2527,699,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
11015,2025,43299,40211,2422,666,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
11020,2024,91100,84280,4281,2539,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
11020,2025,91708,85012,4298,2398,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
11022,2024,29362,26000,1461,1901,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
11022,2025,29428,26135,1398,1895,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
11027,2024,45956,42504,2089,1363,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
11027,2025,46205,42821,2027,1357,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
11028,2024,16526,15875,250,401,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
11028,2025,16674,15993,286,395,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
11030,2024,27252,25956,891,405,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
11030,2025,27439,26087,925,427,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
11031,2024,38987,37542,838,607,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
11031,2025,39064,37663,820,581,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
11032,2024,32223,30492,1052,679,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
11032,2025,32454,30747,981,726,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
11033,2024,18961,15977,2035,949,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
11033,2025,19028,16163,1958,907,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
12009,2024,15609,14554,855,200,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
12009,2025,15635,14676,759,200,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
