cod_ine,fecha,viviendas_turisticas,plazas,plazas_por_vivienda,poblacion,anio_poblacion,poblacion_desfasada,superficie_km2,vut_por_1000_hab,plazas_por_1000_hab,vut_por_km2,estacionalidad_vut,snapshots
04066,2020-08-01,707,3534,5.0,31666,2020,False,599.8014768601909,22.326785827070044,111.60234952314785,1.1787233397639605,,1
04079,2020-08-01,745,3356,4.5,98433,2020,False,59.81314754954031,7.56859996139506,34.09425700730446,12.455455539820118,,1
04902,2020-08-01,129,633,4.91,83758,2020,False,226.13464539968427,1.5401513885240812,7.557487046013515,0.5704565957684081,,1
05019,2020-08-01,129,646,5.01,58369,2020,False,230.70440665114947,2.210077267042437,11.067518717127243,0.5591570697436319,,1
06011,2020-08-01,4,11,2.75,33855,2020,False,164.74430894904378,0.11815093782306897,0.3249150790134397,0.024280049644915015,,1
06015,2020-08-01,58,193,3.33,150984,2020,False,1440.66228554638,0.3841466645472368,1.2782811423727019,0.040259261717261616,,1
06044,2020-08-01,1,4,4.0,37284,2020,False,559.3688664995325,0.0268211565282695,0.107284626113078,0.0017877290995079644,,1
06083,2020-08-01,173,789,4.56,59548,2020,False,864.4662049184715,2.9052193188688116,13.24981527507221,0.20012349703863297,,1
06153,2020-08-01,2,8,4.0,25752,2020,False,153.3255126760472,0.07766387076731904,0.31065548306927615,0.0130441435681072,,1
07011,2020-08-01,667,4213,6.32,51710,2020,False,145.24509503984353,12.898859021465867,81.47360278476117,4.59223769186167,,1
07015,2020-08-01,1314,7529,5.73,30588,2020,False,186.05345939269478,42.95802275402119,246.1422780175232,7.062486256848353,,1
07026,2020-08-01,886,3843,4.34,51128,2020,False,11.182372418526043,17.32905648568299,75.16429353778751,79.23184516124212,,1
07027,2020-08-01,321,2114,6.59,33679,2020,False,58.3368230816297,9.531161851598918,62.76908459277294,5.502527958213122,,1
07031,2020-08-01,739,4825,6.53,37752,2020,False,327.34872623446404,19.575121847849122,127.80779826234372,2.257531313779086,,1
07032,2020-08-01,222,1329,5.99,29592,2020,False,117.31094099824328,7.502027575020276,44.91078669910787,1.8924066085474878,,1
07033,2020-08-01,1068,6723,6.29,44527,2020,False,260.2504548543572,23.985447032137802,150.9870415702832,4.103739225346138,,1
07036,2020-08-01,148,1039,7.02,37724,2020,False,54.2160438298132,3.923231894814972,27.542148234545646,2.7298192480546755,,1
07040,2020-08-01,1702,7657,4.5,422587,2020,False,208.77737278061832,4.027573020466791,18.119345838845017,8.152224435683692,,1
07054,2020-08-01,1263,9064,7.18,39358,2020,False,153.59126355445304,32.0900452258753,230.29625489100056,8.22312396402824,,1
08015,2020-08-01,235,851,3.62,223166,2020,False,20.964314698749817,1.053027790971743,3.8133048941146948,11.209524536187866,,1
08019,2020-08-01,17280,61689,3.57,1664182,2020,False,100.67571338533162,10.383479691524125,37.068661961251834,171.64020416584088,,1
08056,2020-08-01,331,1540,4.65,67460,2020,False,12.938130041291673,4.906611325229766,22.828342721612806,25.58329518590576,,1
08073,2020-08-01,83,280,3.37,89936,2020,False,6.894931174455693,0.922878491371642,3.1133250311332503,12.037828645410993,,1
08077,2020-08-01,67,197,2.94,47150,2020,False,4.5284479646302636,1.4209968186638389,4.178154825026511,14.795356052075203,,1
08089,2020-08-01,102,544,5.33,47057,2020,False,30.746972269932446,2.167583993879763,11.560447967358735,3.317399811094444,,1
