cod_ine,fecha,vut_por_1000_hab,vut_por_km2,percentil_vut_por_1000_hab,percentil_vut_por_km2,score_presion_turistica,metodo,version_metodologia
07011,2020-08-01,12.898859021465867,4.59223769186167,85.57377049180327,71.47540983606558,78.52459016393442,media_percentiles_50_50,1.0
07015,2020-08-01,42.95802275402119,7.062486256848353,96.39344262295081,78.0327868852459,87.21311475409836,media_percentiles_50_50,1.0
07026,2020-08-01,17.32905648568299,79.23184516124212,89.18032786885246,97.37704918032787,93.27868852459017,media_percentiles_50_50,1.0
07027,2020-08-01,9.531161851598918,5.502527958213122,82.95081967213115,74.75409836065573,78.85245901639344,media_percentiles_50_50,1.0
07031,2020-08-01,19.57512184784912,2.257531313779086,89.8360655737705,56.721311475409834,73.27868852459017,media_percentiles_50_50,1.0
07032,2020-08-01,7.502027575020276,1.892406608547488,79.01639344262296,53.114754098360656,66.06557377049181,media_percentiles_50_50,1.0
07033,2020-08-01,23.9854470321378,4.103739225346138,91.14754098360656,70.1639344262295,80.65573770491804,media_percentiles_50_50,1.0
07036,2020-08-01,3.923231894814972,2.7298192480546755,68.85245901639344,62.950819672131146,65.90163934426229,media_percentiles_50_50,1.0
07040,2020-08-01,4.027573020466791,8.152224435683692,69.18032786885246,79.01639344262296,74.09836065573771,media_percentiles_50_50,1.0
07054,2020-08-01,32.0900452258753,8.22312396402824,92.45901639344262,79.34426229508196,85.90163934426229,media_percentiles_50_50,1.0
08015,2020-08-01,1.053027790971743,11.209524536187866,44.59016393442623,81.63934426229508,63.114754098360656,media_percentiles_50_50,1.0
08019,2020-08-01,10.383479691524125,171.64020416584088,83.60655737704919,99.34426229508196,91.47540983606558,media_percentiles_50_50,1.0
08056,2020-08-01,4.906611325229766,25.58329518590576,71.47540983606558,90.1639344262295,80.81967213114754,media_percentiles_50_50,1.0
08073,2020-08-01,0.922878491371642,12.037828645410992,41.63934426229508,82.29508196721312,61.9672131147541,media_percentiles_50_50,1.0
