cod_ine,anio,compraventas,trimestres_tx,viviendas,anio_referencia,tasa_rotacion,precio_m2,trimestres_precio,crecimiento_precio,aceleracion_precio,renta_media,crecimiento_renta,desacoplamiento_precio_renta,pct_propiedad_sociedades,variacion_propiedad_sociedades,elegible_score_principal
09059,2005,3111,4,93766,2021,3.317833756372246,1962.61009110021,4.0,,,,,,,,False
09219,2005,360,4,21007,2021,1.7137144761270053,1600.5484496124031,4.0,,,,,,,,False
10037,2005,2624,4,53756,2021,4.881315574075452,1358.6355581127732,4.0,,,,,,,,False
10148,2005,970,4,22443,2021,4.3220603306153365,1158.41744,4.0,,,,,,,,False
11004,2005,2546,4,55815,2021,4.561497805249485,1415.5592670894998,4.0,,,,,,,,False
11006,2005,768,4,15460,2021,4.967658473479948,1126.1166666666666,4.0,,,,,,,,False
11012,2005,1705,4,56479,2021,3.018821154765488,2215.2515210991164,4.0,,,,,,,,False
11015,2005,2565,4,49229,2021,5.210343496719413,1931.1722170252574,4.0,,,,,,,,False
11020,2005,4908,4,92974,2021,5.27889517499516,1327.888983878847,4.0,,,,,,,,False
11022,2005,1237,4,30028,2021,4.119488477421074,1552.3153846153843,4.0,,,,,,,,False
11027,2005,1107,4,49077,2021,2.255639097744361,1740.9148590021691,4.0,,,,,,,,False
11028,2005,825,4,18626,2021,4.429292386985933,1449.9146842878122,4.0,,,,,,,,False
11030,2005,1229,4,26868,2021,4.5742146791722496,1932.3795166858458,4.0,,,,,,,,False
11031,2005,2135,4,39564,2021,5.396319886765746,1500.6933110367893,4.0,,,,,,,,False
11032,2005,1265,4,34536,2021,3.662844567987028,1572.826454668471,4.0,,,,,,,,False
11033,2005,578,4,19625,2021,2.9452229299363055,2043.0620037807184,4.0,,,,,,,,False
12032,2005,825,4,20301,2021,4.06383921974287,1227.6723880597017,4.0,,,,,,,,False
12040,2005,3960,4,91229,2021,4.340724988764538,1595.5077442973811,4.0,,,,,,,,False
12135,2005,1084,4,25363,2021,4.273942356976699,1290.9426160337553,4.0,,,,,,,,False
12138,2005,1137,4,20887,2021,5.443577344759898,1502.5305424528303,4.0,,,,,,,,False
13005,2005,666,4,17129,2021,3.8881429155233813,1011.8090140845069,4.0,,,,,,,,False
13034,2005,1936,4,41592,2021,4.654741296403154,1625.6100000000001,4.0,,,,,,,,False
13071,2005,1241,4,26589,2021,4.667343638346685,834.3371962616823,4.0,,,,,,,,False
13082,2005,780,4,19217,2021,4.058906176822605,899.5714285714286,4.0,,,,,,,,False
13087,2005,845,4,17368,2021,4.865269461077844,869.0392282958198,4.0,,,,,,,,False
14021,2005,4084,4,155400,2021,2.628056628056628,1673.6133424615853,4.0,,,,,,,,False
14038,2005,228,4,21141,2021,1.0784731091244502,1284.8347383720932,4.0,,,,,,,,False
14056,2005,580,4,14955,2021,3.878301571380809,864.8889855072464,4.0,,,,,,,,False
15005,2005,596,4,17841,2021,3.3406199204080487,1185.2318532818535,4.0,,,,,,,,False
15019,2005,372,4,19427,2021,1.914860760796829,869.5243986254296,4.0,,,,,,,,False
15030,2005,2891,4,136205,2021,2.122535883411035,1794.4722444525282,4.0,,,,,,,,False
15031,2005,472,4,15752,2021,2.9964448958862366,1372.2218678815489,4.0,,,,,,,,False
15036,2005,1276,4,42672,2021,2.9902512185976753,1055.6060422960725,4.0,,,,,,,,False
