cod_ine,anio,poblacion,log_cambio_poblacion_3a,precio_m2,log_cambio_precio_m2_3a,renta_neta_media_persona,renta_neta_media_hogar,mediana_renta_unidad_consumo,log_cambio_renta_neta_media_persona_3a,log_cambio_mediana_renta_unidad_consumo_3a,brecha_precio_renta_3a,pct_renta_alta_200,pct_renta_baja_60,cambio_pct_renta_alta_200_3a,cambio_pct_renta_baja_60_3a,sustitucion_composicion_renta_3a,indice_gini,ratio_p80_p20,cambio_indice_gini_3a,cambio_ratio_p80_p20_3a,edad_media,pct_hogares_unipersonales,pct_mayor_65,pct_menor_18,pct_poblacion_espanola,tamano_medio_hogar,cambio_edad_media_3a,cambio_pct_hogares_unipersonales_3a,cambio_pct_mayor_65_3a,cambio_pct_menor_18_3a,cambio_pct_poblacion_espanola_3a,cambio_tamano_medio_hogar_3a,transformacion_hogares_ajustada_3a,saldo_total_acum_3a,saldo_exterior_acum_3a,saldo_interior_acum_3a,salida_interior_por_1000_3a,saldo_exterior_por_1000_3a,ratio_asequibilidad,puntuacion_asequibilidad,score_presion_turistica,score_presion_especulativa,elegible_score
13087,1996,26217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
14021,1996,306248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
14038,1996,34786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
14056,1996,27472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
15002,1996,13288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
15005,1996,20898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
15019,1996,27287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
15030,1996,243785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
15031,1996,18513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
15036,1996,83048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
15054,1996,31207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
15058,1996,23057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
15073,1996,26572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
15078,1996,93672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
16078,1996,43733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
17023,1996,27713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
17066,1996,33157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
17079,1996,70576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
17095,1996,16674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
17114,1996,27482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
17155,1996,21519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
18017,1996,21472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
18087,1996,245640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
18140,1996,50316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
19046,1996,16013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
19130,1996,67108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
20030,1996,30314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
20045,1996,55215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
20067,1996,39663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
20069,1996,176908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
21041,1996,140675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
21044,1996,18325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
22125,1996,45607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
23005,1996,37705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
23050,1996,104776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
23055,1996,60222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
23092,1996,32086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
24089,1996,145242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
24115,1996,61575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
24142,1996,23226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
25120,1996,112035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
26089,1996,123841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
27028,1996,85174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28005,1996,163386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28006,1996,83031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28007,1996,141465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28013,1996,38900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28014,1996,29224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28022,1996,17814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28045,1996,28328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28047,1996,36950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28049,1996,76001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28058,1996,163567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28061,1996,16503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28065,1996,143153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28074,1996,174593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28079,1996,2866850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28080,1996,40042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28092,1996,196173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28096,1996,11601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28106,1996,69163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28113,1996,25038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28115,1996,60120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28123,1996,22620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28127,1996,45280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28130,1996,29688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28134,1996,57632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28148,1996,88821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28161,1996,21240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28181,1996,17019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28903,1996,27715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
29007,1996,16914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
29015,1996,40181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
29025,1996,27147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
29051,1996,37557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
29054,1996,41713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
29067,1996,549135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
29069,1996,98823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
29070,1996,35423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
29082,1996,19247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
29084,1996,34385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
29094,1996,53071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
29901,1996,35408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
30003,1996,25702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
30005,1996,31872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
30015,1996,21824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
30016,1996,170483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
