cod_ine,anio,renta_media,fuente
01016,2016,27697.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01016,2017,27402.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01016,2018,29665.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01016,2019,30733.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01016,2020,32782.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01016,2021,31709.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01016,2022,33505.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01016,2023,36807.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01017,2015,26377.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01017,2016,27313.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01017,2017,27374.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01017,2018,27625.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01017,2019,29244.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01017,2020,29717.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01017,2021,30570.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01017,2022,31541.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01017,2023,34127.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01018,2015,45710.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01018,2016,44527.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01018,2017,46232.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01018,2018,45709.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01018,2019,46733.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01018,2020,47234.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01018,2021,48511.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01018,2022,50869.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01018,2023,54936.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01019,2015,27303.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01019,2016,29233.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01019,2017,29681.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01019,2018,31403.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01019,2019,32955.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01019,2020,29932.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01019,2021,30945.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01019,2022,32410.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01019,2023,34771.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01020,2015,31654.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01020,2016,33464.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01020,2017,31876.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01020,2018,31960.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01020,2019,32625.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01020,2020,27807.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01020,2021,30936.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01020,2022,32927.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01020,2023,34872.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01021,2015,46504.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01021,2016,43139.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01021,2017,44126.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01021,2018,43182.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01021,2019,45075.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01021,2020,46358.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01021,2021,50470.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01021,2022,53376.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01021,2023,57524.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01022,2015,33074.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01022,2016,33407.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01022,2017,32886.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01022,2018,32561.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01022,2019,33713.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01022,2020,32417.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01022,2021,33105.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01022,2022,35165.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01022,2023,40225.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01023,2015,28936.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01023,2016,29762.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01023,2017,31858.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01023,2018,31284.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01023,2019,32267.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01023,2020,25964.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01023,2021,26300.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01023,2022,25688.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01023,2023,32118.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01027,2015,36156.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01027,2016,36700.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01027,2017,37483.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01027,2018,38399.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01027,2019,43264.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01027,2020,41526.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01027,2021,44581.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01027,2022,46399.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01027,2023,50666.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01028,2015,26641.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01028,2016,28644.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01028,2017,27071.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01028,2018,27931.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01028,2019,30110.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01028,2020,28519.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01028,2021,30522.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01028,2022,30387.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01028,2023,34746.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01030,2015,28711.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01030,2016,27882.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01030,2017,27794.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01030,2018,26729.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01030,2019,27184.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01030,2020,29675.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01030,2021,30883.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01030,2022,29662.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01030,2023,35113.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01031,2015,29985.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01031,2016,29964.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01031,2017,30543.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01031,2018,32431.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
