cod_ine,anio_base,horizonte_climatico,escenario_climatico,tipo_valor_climatico,proyeccion_duracion_max_ola_calor_dias,proyeccion_grados_dia_refrigeracion,proyeccion_racha_seca_max_dias,tendencia_asequibilidad,tendencia_turismo,tendencia_especulacion,tendencia_gentrificacion,percentil_proyeccion_duracion_max_ola_calor_dias,percentil_proyeccion_grados_dia_refrigeracion,percentil_proyeccion_racha_seca_max_dias,percentil_tendencia_asequibilidad,percentil_tendencia_turismo,percentil_tendencia_especulacion,percentil_tendencia_gentrificacion,score_riesgo_climatico,n_tendencias_validas,score_tendencia_presion,elegible_score,score_riesgo_futuro,metodo,version_metodologia
28005,2023,2041-2060,SSP2-4.5,ANOMALY,22.03099986076355,193.37046829223632,15.003333282470702,1.3114754098360648,-0.9289617486338811,,0.4684687727356523,52.317880794701985,75.49668874172185,35.76158940397351,83.93442622950819,29.672131147540984,,54.77031802120141,54.52538631346579,3,56.125625132750194,True,55.16548184117955,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
28006,2023,2041-2060,SSP2-4.5,ANOMALY,21.217777903874715,197.17001444498695,17.273332595825195,1.9287879665566072,2.773224043715847,,2.379012274163756,42.71523178807947,78.47682119205298,44.370860927152314,91.80327868852459,91.63934426229508,,73.85159010600707,55.187637969094915,3,85.7647376856089,True,67.41847785570052,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
28007,2023,2041-2060,SSP2-4.5,ANOMALY,22.353333568573,198.360147857666,19.74499969482422,1.6742626826338027,0.3278688524590165,,-0.2248508187911232,54.966887417218544,79.47019867549669,58.94039735099338,88.85245901639344,56.721311475409834,,46.64310954063604,64.45916114790286,3,64.07229334414643,True,64.3044140264003,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
28013,2023,2041-2060,SSP2-4.5,ANOMALY,23.03041657209396,230.61335144042968,20.307917070388793,2.085888417787894,1.9398907103825136,,-1.019973435581278,63.24503311258278,96.02649006622516,64.23841059602648,92.45901639344262,84.59016393442623,,35.3356890459364,74.50331125827815,3,70.79495645793507,True,73.01996933814092,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
28014,2023,2041-2060,SSP2-4.5,ANOMALY,22.98166666030884,210.06493453979493,15.4316668510437,1.4720559517187772,-0.2732240437158458,,-5.93983645106408,62.58278145695364,86.09271523178808,37.086092715231786,87.21311475409836,38.68852459016394,,5.6537102473498235,61.9205298013245,3,43.85178319720404,True,54.693031159676316,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
28022,2023,2041-2060,SSP2-4.5,ANOMALY,21.917499828338624,200.4986545562744,20.01333351135254,2.9323279131440976,-1.20218579234973,,0.4594474935050812,50.66225165562914,80.13245033112582,60.9271523178808,98.0327868852459,25.24590163934426,,54.063604240282686,63.90728476821192,3,59.11409758829095,True,61.990009896243535,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
28045,2023,2041-2060,SSP2-4.5,ANOMALY,21.730333275794983,176.69192600250244,17.360666961669924,2.292253463900797,-1.6393442622950838,,2.6998805436516897,48.34437086092715,69.20529801324503,45.36423841059602,93.44262295081967,18.0327868852459,,77.73851590106007,54.304635761589395,3,63.071308579041876,True,57.81130488857038,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
28047,2023,2041-2060,SSP2-4.5,ANOMALY,21.418333578109745,141.02312164306642,17.4100004196167,1.8908700913747212,-1.8306010928961751,,0.8004387253461829,45.36423841059602,47.35099337748344,46.35761589403973,91.14754098360656,16.229508196721312,,56.890459363957596,46.35761589403973,3,54.75583618142849,True,49.716904008995236,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
28049,2023,2041-2060,SSP2-4.5,ANOMALY,23.411666870117188,223.93552169799804,20.499999809265137,1.2439900364942376,-4.508196721311475,,-1.413427561837466,65.89403973509934,94.03973509933775,66.55629139072848,81.9672131147541,3.6065573770491803,,31.448763250883392,75.49668874172185,3,39.00751124756223,True,60.901017744058,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
28058,2023,2041-2060,SSP2-4.5,ANOMALY,23.416666555404664,219.4538272857666,20.61333284378052,1.4246104179684915,-1.4207650273224064,,-0.6971071515090728,66.2251655629139,91.3907284768212,67.88079470198676,85.57377049180327,21.9672131147541,,39.92932862190813,75.1655629139073,3,49.156770742821834,True,64.76204604547311,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
28061,2023,2041-2060,SSP2-4.5,ANOMALY,22.534999799728393,166.33891096115113,17.640833377838135,3.2436541512427293,-0.7377049180327866,,1.2836702774720454,58.27814569536424,64.90066225165563,47.682119205298015,99.50819672131148,32.459016393442624,,60.7773851590106,56.95364238410596,3,64.24819942458824,True,59.87146520029887,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
28065,2023,2041-2060,SSP2-4.5,ANOMALY,22.956666593551635,221.63675216674807,19.57700107574463,1.1881258761216469,-2.1584699453551925,,-0.3554452881571184,62.25165562913907,92.71523178807946,55.96026490066225,80.32786885245902,14.426229508196721,,44.169611307420496,70.30905077262693,3,46.30790322269208,True,60.70859175265299,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
28074,2023,2041-2060,SSP2-4.5,ANOMALY,23.53833332061767,222.49445419311525,20.549999046325684,0.7260142919115433,-3.9071038251366135,,-0.9464715905752412,67.54966887417218,93.04635761589404,67.21854304635761,72.45901639344262,5.573770491803279,,36.74911660777385,75.93818984547461,3,38.260634497673244,True,60.86716770635407,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
28079,2023,2041-2060,SSP2-4.5,ANOMALY,21.860740787011604,200.26534929628724,18.67857996622721,0.0989414477043445,-0.8606557377049207,,1.594933286991446,49.66887417218543,79.80132450331126,51.98675496688742,54.75409836065574,30.491803278688526,,64.66431095406361,60.48565121412804,3,49.9700708644693,True,56.27941907426454,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
28080,2023,2041-2060,SSP2-4.5,ANOMALY,21.88916668891907,206.1507709503174,20.182499408721924,1.8041922035643696,-1.598360655737705,,-0.3160902894437072,50.33112582781457,84.43708609271523,62.25165562913907,90.1639344262295,18.688524590163933,,44.522968197879855,65.67328918322296,3,51.12514240475776,True,59.85403047183688,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
28092,2023,2041-2060,SSP2-4.5,ANOMALY,21.924166679382324,207.52509269714355,20.668333339691163,2.3031435246867087,-2.6502732240437146,,1.707891637220257,50.99337748344371,84.76821192052981,68.54304635761589,93.77049180327869,10.491803278688524,,66.07773851590106,68.10154525386314,3,56.780011199289426,True,63.57293163203365,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
28096,2023,2041-2060,SSP2-4.5,ANOMALY,22.635333442687987,214.3172134399414,20.898000297546385,1.448087431693994,1.2841530054644794,,,59.271523178807946,89.0728476821192,71.8543046357616,86.22950819672131,75.73770491803279,,,73.39955849889624,2,80.98360655737704,True,76.43317772228856,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
28106,2023,2041-2060,SSP2-4.5,ANOMALY,22.49166612625122,196.0603576660156,20.484998321533205,2.962449004718692,0.1092896174863383,,0.0598674006688474,56.95364238410596,77.48344370860927,65.89403973509934,98.36065573770492,48.19672131147541,,50.53003533568904,66.77704194260485,3,65.6958041282898,True,66.34454681687883,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
28113,2023,2041-2060,SSP2-4.5,ANOMALY,22.916666920979814,205.99869028727213,19.345556831359865,0.9564772442024356,-3.90710382513661,,-0.5262762198330861,61.920529801324506,84.10596026490066,54.966887417218544,77.04918032786885,5.901639344262295,,41.342756183745585,66.99779249448123,3,41.43119195195891,True,56.7711522774723,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
28115,2023,2041-2060,SSP2-4.5,ANOMALY,20.918333435058592,193.39985275268555,19.7,4.942854660256038,0.2322404371584703,,-1.7667844522968252,40.728476821192054,75.82781456953643,57.94701986754967,99.50819672131148,53.278688524590166,,27.915194346289752,58.167770419426056,3,60.23402653073047,True,58.99427286394782,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
28123,2023,2041-2060,SSP2-4.5,ANOMALY,22.52033363342285,222.4990338134766,17.65466636657715,1.3633298453668186,-5.846994535519125,,2.6609420317387986,57.94701986754967,93.37748344370861,48.01324503311258,84.59016393442623,1.3114754098360655,,77.03180212014134,66.4459161147903,3,54.31114715480121,True,61.59200853079466,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
28127,2023,2041-2060,SSP2-4.5,ANOMALY,22.152500104904178,198.0318519592285,18.565832996368407,4.230458011259007,-1.4754098360655754,,-0.3585082714471473,53.311258278145694,79.13907284768212,51.324503311258276,99.50819672131148,20.65573770491803,,43.81625441696113,61.25827814569536,3,54.66006294773021,True,58.61899206650929,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
