cod_ine,anio,saldo_exterior,saldo_interior,saldo_total,fuente
04066,2022,909,-7,902,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
04066,2023,470,-374,96,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
04066,2024,-278,-504,-782,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
04079,2021,2226,1444,3670,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
04079,2022,1905,760,2665,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
04079,2023,1378,555,1933,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
04079,2024,1183,43,1226,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
04902,2021,2263,592,2855,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
04902,2022,1566,-503,1063,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
04902,2023,209,-744,-535,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
04902,2024,958,-433,525,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
05019,2021,246,-52,194,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
05019,2022,781,-229,552,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
05019,2023,957,-135,822,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
05019,2024,779,-217,562,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
06011,2021,-117,29,-88,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
06011,2022,242,-48,194,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
06011,2023,284,93,377,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
06011,2024,107,215,322,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
06015,2021,99,-373,-274,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
06015,2022,692,-271,421,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
06015,2023,818,-234,584,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
06015,2024,511,-506,5,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
06044,2021,81,-25,56,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
06044,2022,242,-23,219,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
06044,2023,187,21,208,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
06044,2024,253,64,317,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
06083,2021,-42,-194,-236,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
06083,2022,381,-140,241,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
06083,2023,430,-59,371,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
06083,2024,466,-18,448,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
06153,2021,50,70,120,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
06153,2022,71,-109,-38,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
06153,2023,31,-29,2,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
06153,2024,74,22,96,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07011,2021,690,-78,612,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07011,2022,1127,-271,856,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07011,2023,474,-206,268,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07011,2024,376,-131,245,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07015,2021,182,54,236,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07015,2022,486,240,726,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07015,2023,432,62,494,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07015,2024,329,251,580,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07026,2021,47,48,95,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07026,2022,1204,-11,1193,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07026,2023,1023,246,1269,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07026,2024,1114,145,1259,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07027,2021,-98,224,126,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07027,2022,355,161,516,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07027,2023,541,366,907,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07027,2024,363,248,611,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07031,2021,88,199,287,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07031,2022,280,75,355,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07031,2023,457,141,598,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07031,2024,541,44,585,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07032,2021,-30,37,7,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07032,2022,482,-41,441,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07032,2023,560,100,660,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07032,2024,419,-38,381,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07033,2021,391,58,449,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07033,2022,1069,43,1112,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07033,2023,925,227,1152,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07033,2024,1037,200,1237,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07036,2021,116,368,484,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07036,2022,287,193,480,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07036,2023,209,363,572,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07036,2024,155,215,370,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07040,2021,-286,-3098,-3384,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07040,2022,9060,-339,8721,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07040,2023,8616,-1040,7576,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07040,2024,5867,-1412,4455,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07054,2021,390,58,448,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07054,2022,639,40,679,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07054,2023,339,-69,270,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
07054,2024,350,64,414,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08015,2021,1042,-180,862,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08015,2022,3714,-1639,2075,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08015,2023,2667,-697,1970,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08015,2024,3998,447,4445,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08019,2021,7070,-15102,-8032,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08019,2022,55386,-9528,45858,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08019,2023,45402,-11553,33849,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08019,2024,46974,-17020,29954,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08056,2021,315,-221,94,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08056,2022,1875,-465,1410,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08056,2023,1443,-502,941,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08056,2024,1101,-534,567,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08073,2021,610,-744,-134,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08073,2022,1724,-565,1159,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08073,2023,1325,-25,1300,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08073,2024,1156,26,1182,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08077,2021,176,-440,-264,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08077,2022,955,-337,618,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08077,2023,993,-153,840,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08077,2024,790,45,835,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08089,2021,180,-73,107,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08089,2022,717,-68,649,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08089,2023,549,-30,519,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08089,2024,433,-138,295,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08096,2021,-188,-228,-416,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08096,2022,1201,82,1283,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08096,2023,1001,10,1011,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08096,2024,1212,37,1249,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08101,2021,4462,-2336,2126,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08101,2022,10784,-1574,9210,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08101,2023,8318,-2682,5636,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08101,2024,11669,-1881,9788,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08102,2021,96,-151,-55,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08102,2022,598,-16,582,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08102,2023,539,-26,513,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08102,2024,629,147,776,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08113,2021,-294,-425,-719,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08113,2022,1480,108,1588,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08113,2023,1187,149,1336,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08113,2024,1354,-189,1165,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08114,2021,209,-175,34,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08114,2022,255,-216,39,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08114,2023,26,-155,-129,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08114,2024,289,239,528,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08121,2021,-752,-411,-1163,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08121,2022,1699,-441,1258,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08121,2023,1153,230,1383,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08121,2024,546,24,570,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08124,2021,21,-28,-7,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08124,2022,806,-57,749,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08124,2023,549,-55,494,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08124,2024,906,-80,826,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08125,2021,-199,-156,-355,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08125,2022,353,-140,213,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08125,2023,189,38,227,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08125,2024,335,-59,276,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08163,2021,-34,268,234,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08163,2022,500,205,705,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08163,2023,455,204,659,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08163,2024,460,308,768,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08169,2021,-318,-143,-461,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08169,2022,724,-118,606,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08169,2023,667,-40,627,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08169,2024,420,-15,405,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08172,2021,0,-39,-39,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08172,2022,368,68,436,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08172,2023,381,-21,360,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08172,2024,418,88,506,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08180,2021,54,-251,-197,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08180,2022,516,-214,302,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08180,2023,504,-269,235,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08180,2024,492,-137,355,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08184,2021,536,-80,456,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08184,2022,1212,-122,1090,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08184,2023,1403,93,1496,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08184,2024,1275,51,1326,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08187,2021,-912,-464,-1376,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08187,2022,2828,431,3259,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08187,2023,2871,955,3826,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08187,2024,2784,397,3181,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08194,2021,19,-227,-208,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08194,2022,939,-27,912,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08194,2023,922,-155,767,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08194,2024,668,-385,283,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08196,2021,14,-186,-172,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08196,2022,103,-124,-21,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08196,2023,212,27,239,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08196,2024,165,-85,80,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08200,2021,81,-432,-351,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08200,2022,1015,-316,699,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08200,2023,1045,20,1065,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08200,2024,1022,-116,906,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08205,2021,1184,437,1621,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08205,2022,2046,-646,1400,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08205,2023,1549,-657,892,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08205,2024,113,-939,-826,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08211,2021,187,-126,61,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08211,2022,507,-7,500,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08211,2023,449,57,506,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08211,2024,402,-20,382,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08217,2021,-41,-77,-118,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08217,2022,349,240,589,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08217,2023,353,111,464,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08217,2024,356,435,791,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08231,2021,-65,181,116,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08231,2022,90,142,232,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08231,2023,148,142,290,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08231,2024,419,185,604,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08245,2021,366,-1344,-978,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08245,2022,2585,-706,1879,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08245,2023,2482,-693,1789,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08245,2024,2872,-533,2339,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08252,2021,148,-140,8,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08252,2022,291,-42,249,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08252,2023,260,56,316,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08252,2024,321,117,438,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08260,2021,39,-144,-105,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08260,2022,102,-87,15,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08260,2023,132,-40,92,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08260,2024,125,52,177,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08263,2021,79,-103,-24,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08263,2022,357,-49,308,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08263,2023,261,-40,221,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08263,2024,173,15,188,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08266,2021,63,-167,-104,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08266,2022,685,-37,648,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
08266,2023,514,-282,232,"INE, Estadística de Migraciones y Cambios de Residencia, tabla 69767"
