cod_ine,nombre,score_asequibilidad,asequibilidad_disponible,score_turismo,turismo_disponible,score_especulacion,especulacion_disponible,score_gentrificacion,gentrificacion_disponible,anio_base,horizonte_climatico,escenario_climatico,tipo_valor_climatico,score_riesgo_futuro,riesgo_futuro_elegible_origen,version_riesgo_futuro,riesgo_futuro_disponible,capas_actuales_disponibles,capas_ipr5_disponibles,elegible_ipr4_observado,elegible_ipr5_prospectivo,motivo_no_elegible_ipr5,anio_corte,fecha_turismo,tipo_producto
08114,Martorell,43.278688524590166,True,21.63934426229508,True,38.251366120218584,True,50.05464480874317,True,2023,2041-2060,SSP2-4.5,ANOMALY,65.44922308925712,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
08121,Mataró,22.62295081967213,True,58.36065573770492,True,63.278688524590166,True,65.02732240437159,True,2023,2041-2060,SSP2-4.5,ANOMALY,37.15881674225996,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
08124,Mollet del Vallès,27.540983606557376,True,21.639344262295083,True,50.05464480874317,True,54.37158469945356,True,2023,2041-2060,SSP2-4.5,ANOMALY,52.23387691702155,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
08125,Montcada i Reixac,29.18032786885246,True,17.704918032786885,True,39.12568306010929,True,23.27868852459017,True,2023,2041-2060,SSP2-4.5,ANOMALY,35.36396143342209,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
08163,Pineda de Mar,26.557377049180328,True,86.0655737704918,True,50.38251366120218,True,47.267759562841526,True,2023,2041-2060,SSP2-4.5,ANOMALY,25.084138530018457,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
08169,Prat de Llobregat (El),12.131147540983608,True,38.36065573770492,True,53.333333333333336,True,46.77595628415301,True,2023,2041-2060,SSP2-4.5,ANOMALY,41.702835972608675,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
08172,Premià de Mar,17.704918032786885,True,69.34426229508196,True,26.010928961748633,True,54.31693989071039,True,2023,2041-2060,SSP2-4.5,ANOMALY,27.703229316000648,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
08180,Ripollet,22.295081967213115,True,21.967213114754095,True,61.967213114754095,True,54.53551912568306,True,2023,2041-2060,SSP2-4.5,ANOMALY,43.31997577025165,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
08184,Rubí,33.77049180327869,True,34.42622950819672,True,51.147540983606554,True,22.404371584699454,True,2023,2041-2060,SSP2-4.5,ANOMALY,43.20127736859921,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
08187,Sabadell,33.114754098360656,True,30.49180327868853,True,65.68306010928961,True,52.295081967213115,True,2023,2041-2060,SSP2-4.5,ANOMALY,37.30824273072384,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
