cod_ine,anio_referencia,viviendas,fuente
26089,2021,78908,"INE, Censo de Población y Viviendas 2021, tabla 59525"
27028,2021,62648,"INE, Censo de Población y Viviendas 2021, tabla 59525"
28005,2021,79588,"INE, Censo de Población y Viviendas 2021, tabla 59525"
28006,2021,42744,"INE, Censo de Población y Viviendas 2021, tabla 59525"
28007,2021,70601,"INE, Censo de Población y Viviendas 2021, tabla 59525"
28013,2021,25682,"INE, Censo de Población y Viviendas 2021, tabla 59525"
28014,2021,21573,"INE, Censo de Población y Viviendas 2021, tabla 59525"
28022,2021,19874,"INE, Censo de Población y Viviendas 2021, tabla 59525"
28045,2021,20461,"INE, Censo de Población y Viviendas 2021, tabla 59525"
28047,2021,27922,"INE, Censo de Población y Viviendas 2021, tabla 59525"
28049,2021,31337,"INE, Censo de Población y Viviendas 2021, tabla 59525"
28058,2021,70944,"INE, Censo de Población y Viviendas 2021, tabla 59525"
28061,2021,15295,"INE, Censo de Población y Viviendas 2021, tabla 59525"
28065,2021,79835,"INE, Censo de Población y Viviendas 2021, tabla 59525"
28074,2021,77962,"INE, Censo de Población y Viviendas 2021, tabla 59525"
28079,2021,1533221,"INE, Censo de Población y Viviendas 2021, tabla 59525"
28080,2021,25577,"INE, Censo de Población y Viviendas 2021, tabla 59525"
28092,2021,82103,"INE, Censo de Población y Viviendas 2021, tabla 59525"
28096,2021,12156,"INE, Censo de Población y Viviendas 2021, tabla 59525"
28106,2021,47256,"INE, Censo de Población y Viviendas 2021, tabla 59525"
28113,2021,21507,"INE, Censo de Población y Viviendas 2021, tabla 59525"
28115,2021,32327,"INE, Censo de Población y Viviendas 2021, tabla 59525"
28123,2021,35980,"INE, Censo de Población y Viviendas 2021, tabla 59525"
28127,2021,35404,"INE, Censo de Población y Viviendas 2021, tabla 59525"
28130,2021,15621,"INE, Censo de Población y Viviendas 2021, tabla 59525"
28134,2021,36032,"INE, Censo de Población y Viviendas 2021, tabla 59525"
28148,2021,50494,"INE, Censo de Población y Viviendas 2021, tabla 59525"
28161,2021,28896,"INE, Censo de Población y Viviendas 2021, tabla 59525"
28181,2021,11252,"INE, Censo de Población y Viviendas 2021, tabla 59525"
28903,2021,18542,"INE, Censo de Población y Viviendas 2021, tabla 59525"
29007,2021,17000,"INE, Censo de Población y Viviendas 2021, tabla 59525"
29015,2021,20944,"INE, Censo de Población y Viviendas 2021, tabla 59525"
29025,2021,48663,"INE, Censo de Población y Viviendas 2021, tabla 59525"
29051,2021,50366,"INE, Censo de Población y Viviendas 2021, tabla 59525"
29054,2021,48887,"INE, Censo de Población y Viviendas 2021, tabla 59525"
29067,2021,261857,"INE, Censo de Población y Viviendas 2021, tabla 59525"
29069,2021,100282,"INE, Censo de Población y Viviendas 2021, tabla 59525"
29070,2021,62030,"INE, Censo de Población y Viviendas 2021, tabla 59525"
29082,2021,27620,"INE, Censo de Población y Viviendas 2021, tabla 59525"
29084,2021,19462,"INE, Censo de Población y Viviendas 2021, tabla 59525"
29094,2021,50454,"INE, Censo de Población y Viviendas 2021, tabla 59525"
29901,2021,42938,"INE, Censo de Población y Viviendas 2021, tabla 59525"
30003,2021,26137,"INE, Censo de Población y Viviendas 2021, tabla 59525"
30005,2021,18107,"INE, Censo de Población y Viviendas 2021, tabla 59525"
30015,2021,14630,"INE, Censo de Población y Viviendas 2021, tabla 59525"
30016,2021,125253,"INE, Censo de Población y Viviendas 2021, tabla 59525"
30019,2021,16704,"INE, Censo de Población y Viviendas 2021, tabla 59525"
30022,2021,13679,"INE, Censo de Población y Viviendas 2021, tabla 59525"
30024,2021,42431,"INE, Censo de Población y Viviendas 2021, tabla 59525"
30026,2021,31537,"INE, Censo de Población y Viviendas 2021, tabla 59525"
30027,2021,32908,"INE, Censo de Población y Viviendas 2021, tabla 59525"
30030,2021,219740,"INE, Censo de Población y Viviendas 2021, tabla 59525"
30035,2021,41372,"INE, Censo de Población y Viviendas 2021, tabla 59525"
30037,2021,21899,"INE, Censo de Población y Viviendas 2021, tabla 59525"
30039,2021,15390,"INE, Censo de Población y Viviendas 2021, tabla 59525"
30043,2021,19242,"INE, Censo de Población y Viviendas 2021, tabla 59525"
31201,2021,94761,"INE, Censo de Población y Viviendas 2021, tabla 59525"
31232,2021,17007,"INE, Censo de Población y Viviendas 2021, tabla 59525"
32054,2021,67492,"INE, Censo de Población y Viviendas 2021, tabla 59525"
33004,2021,42296,"INE, Censo de Población y Viviendas 2021, tabla 59525"
33024,2021,148955,"INE, Censo de Población y Viviendas 2021, tabla 59525"
33031,2021,25962,"INE, Censo de Población y Viviendas 2021, tabla 59525"
33037,2021,25878,"INE, Censo de Población y Viviendas 2021, tabla 59525"
33044,2021,127210,"INE, Censo de Población y Viviendas 2021, tabla 59525"
33066,2021,29569,"INE, Censo de Población y Viviendas 2021, tabla 59525"
34120,2021,44610,"INE, Censo de Población y Viviendas 2021, tabla 59525"
35002,2021,14365,"INE, Censo de Población y Viviendas 2021, tabla 59525"
35004,2021,25339,"INE, Censo de Población y Viviendas 2021, tabla 59525"
35006,2021,17003,"INE, Censo de Población y Viviendas 2021, tabla 59525"
35011,2021,13881,"INE, Censo de Población y Viviendas 2021, tabla 59525"
35014,2021,16893,"INE, Censo de Población y Viviendas 2021, tabla 59525"
35016,2021,175181,"INE, Censo de Población y Viviendas 2021, tabla 59525"
35017,2021,18683,"INE, Censo de Población y Viviendas 2021, tabla 59525"
35019,2021,32766,"INE, Censo de Población y Viviendas 2021, tabla 59525"
35022,2021,30372,"INE, Censo de Población y Viviendas 2021, tabla 59525"
35026,2021,46739,"INE, Censo de Población y Viviendas 2021, tabla 59525"
36008,2021,15731,"INE, Censo de Población y Viviendas 2021, tabla 59525"
36026,2021,12577,"INE, Censo de Población y Viviendas 2021, tabla 59525"
36038,2021,42646,"INE, Censo de Población y Viviendas 2021, tabla 59525"
36045,2021,14215,"INE, Censo de Población y Viviendas 2021, tabla 59525"
36057,2021,144293,"INE, Censo de Población y Viviendas 2021, tabla 59525"
36060,2021,21149,"INE, Censo de Población y Viviendas 2021, tabla 59525"
37274,2021,92553,"INE, Censo de Población y Viviendas 2021, tabla 59525"
38001,2021,26798,"INE, Censo de Población y Viviendas 2021, tabla 59525"
38006,2021,53746,"INE, Censo de Población y Viviendas 2021, tabla 59525"
38011,2021,14205,"INE, Censo de Población y Viviendas 2021, tabla 59525"
38017,2021,24284,"INE, Censo de Población y Viviendas 2021, tabla 59525"
38023,2021,74096,"INE, Censo de Población y Viviendas 2021, tabla 59525"
38026,2021,17819,"INE, Censo de Población y Viviendas 2021, tabla 59525"
38028,2021,20779,"INE, Censo de Población y Viviendas 2021, tabla 59525"
38031,2021,17417,"INE, Censo de Población y Viviendas 2021, tabla 59525"
38038,2021,97227,"INE, Censo de Población y Viviendas 2021, tabla 59525"
39016,2021,13768,"INE, Censo de Población y Viviendas 2021, tabla 59525"
39020,2021,24994,"INE, Censo de Población y Viviendas 2021, tabla 59525"
39075,2021,93407,"INE, Censo de Población y Viviendas 2021, tabla 59525"
39087,2021,26596,"INE, Censo de Población y Viviendas 2021, tabla 59525"
40194,2021,29036,"INE, Censo de Población y Viviendas 2021, tabla 59525"
41004,2021,32822,"INE, Censo de Población y Viviendas 2021, tabla 59525"
41021,2021,13079,"INE, Censo de Población y Viviendas 2021, tabla 59525"
41024,2021,15565,"INE, Censo de Población y Viviendas 2021, tabla 59525"
41034,2021,13904,"INE, Censo de Población y Viviendas 2021, tabla 59525"
41038,2021,56736,"INE, Censo de Población y Viviendas 2021, tabla 59525"
41039,2021,18684,"INE, Censo de Población y Viviendas 2021, tabla 59525"
41053,2021,12629,"INE, Censo de Población y Viviendas 2021, tabla 59525"
41059,2021,19554,"INE, Censo de Población y Viviendas 2021, tabla 59525"
41065,2021,13352,"INE, Censo de Población y Viviendas 2021, tabla 59525"
41069,2021,16512,"INE, Censo de Población y Viviendas 2021, tabla 59525"
41081,2021,16016,"INE, Censo de Población y Viviendas 2021, tabla 59525"
41091,2021,327393,"INE, Censo de Población y Viviendas 2021, tabla 59525"
41095,2021,23030,"INE, Censo de Población y Viviendas 2021, tabla 59525"
42173,2021,25244,"INE, Censo de Población y Viviendas 2021, tabla 59525"
43038,2021,31733,"INE, Censo de Población y Viviendas 2021, tabla 59525"
43123,2021,51284,"INE, Censo de Población y Viviendas 2021, tabla 59525"
43148,2021,67200,"INE, Censo de Población y Viviendas 2021, tabla 59525"
43155,2021,19654,"INE, Censo de Población y Viviendas 2021, tabla 59525"
43163,2021,31063,"INE, Censo de Población y Viviendas 2021, tabla 59525"
43905,2021,31523,"INE, Censo de Población y Viviendas 2021, tabla 59525"
44216,2021,21490,"INE, Censo de Población y Viviendas 2021, tabla 59525"
45081,2021,12265,"INE, Censo de Población y Viviendas 2021, tabla 59525"
45165,2021,43263,"INE, Censo de Población y Viviendas 2021, tabla 59525"
45168,2021,40498,"INE, Censo de Población y Viviendas 2021, tabla 59525"
46005,2021,13175,"INE, Censo de Población y Viviendas 2021, tabla 59525"
46017,2021,24652,"INE, Censo de Población y Viviendas 2021, tabla 59525"
46021,2021,14434,"INE, Censo de Población y Viviendas 2021, tabla 59525"
46029,2021,14059,"INE, Censo de Población y Viviendas 2021, tabla 59525"
46078,2021,17991,"INE, Censo de Población y Viviendas 2021, tabla 59525"
46094,2021,12401,"INE, Censo de Población y Viviendas 2021, tabla 59525"
46102,2021,12037,"INE, Censo de Población y Viviendas 2021, tabla 59525"
46110,2021,13504,"INE, Censo de Población y Viviendas 2021, tabla 59525"
46131,2021,54541,"INE, Censo de Población y Viviendas 2021, tabla 59525"
46145,2021,16908,"INE, Censo de Población y Viviendas 2021, tabla 59525"
46159,2021,14239,"INE, Censo de Población y Viviendas 2021, tabla 59525"
46169,2021,20270,"INE, Censo de Población y Viviendas 2021, tabla 59525"
46181,2021,21085,"INE, Censo de Población y Viviendas 2021, tabla 59525"
46184,2021,19230,"INE, Censo de Población y Viviendas 2021, tabla 59525"
46190,2021,33020,"INE, Censo de Población y Viviendas 2021, tabla 59525"
46220,2021,41287,"INE, Censo de Población y Viviendas 2021, tabla 59525"
46235,2021,25186,"INE, Censo de Población y Viviendas 2021, tabla 59525"
46244,2021,40564,"INE, Censo de Población y Viviendas 2021, tabla 59525"
46250,2021,414988,"INE, Censo de Población y Viviendas 2021, tabla 59525"
47186,2021,159363,"INE, Censo de Población y Viviendas 2021, tabla 59525"
48013,2021,46654,"INE, Censo de Población y Viviendas 2021, tabla 59525"
48015,2021,19257,"INE, Censo de Población y Viviendas 2021, tabla 59525"
48020,2021,165685,"INE, Censo de Población y Viviendas 2021, tabla 59525"
48027,2021,13360,"INE, Censo de Población y Viviendas 2021, tabla 59525"
48036,2021,13683,"INE, Censo de Población y Viviendas 2021, tabla 59525"
48044,2021,34366,"INE, Censo de Población y Viviendas 2021, tabla 59525"
48054,2021,13804,"INE, Censo de Población y Viviendas 2021, tabla 59525"
48078,2021,21560,"INE, Censo de Población y Viviendas 2021, tabla 59525"
48082,2021,21669,"INE, Censo de Población y Viviendas 2021, tabla 59525"
48084,2021,13547,"INE, Censo de Población y Viviendas 2021, tabla 59525"
49275,2021,39710,"INE, Censo de Población y Viviendas 2021, tabla 59525"
50297,2021,338961,"INE, Censo de Población y Viviendas 2021, tabla 59525"
51001,2021,28315,"INE, Censo de Población y Viviendas 2021, tabla 59525"
52001,2021,29347,"INE, Censo de Población y Viviendas 2021, tabla 59525"
