cod_ine,anio,precio_m2,num_tasaciones,trimestres_disponibles,renta_media,superficie_ref_m2,precio_vivienda,ratio_asequibilidad,puntuacion_asequibilidad,metodo_normalizacion,fuente_precio,fuente_renta
03065,2015,806.4955700325733,1535,4,22277.0,90.0,72584.6013029316,3.258275409746896,67.38351254480287,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
03066,2015,552.5460410557185,341,4,20473.0,90.0,49729.14369501467,2.429011072877188,97.84946236559139,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
03082,2015,1508.4935754189944,358,4,21969.0,90.0,135764.4217877095,6.179818006632504,2.867383512544803,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
03093,2015,632.285925925926,135,4,24139.0,90.0,56905.73333333334,2.3574188381181216,99.2831541218638,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
03099,2015,1037.994211932324,1123,4,20833.0,90.0,93419.47907390917,4.484206742855526,22.22222222222222,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
03104,2015,662.0543859649123,171,4,20888.0,90.0,59584.89473684211,2.8525897518595418,83.87096774193549,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
03121,2015,1203.404887218045,532,4,21016.0,90.0,108306.43984962405,5.1535230229170175,11.827956989247312,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
03122,2015,901.613881748072,389,4,25296.0,90.0,81145.24935732648,3.2078292756691367,69.53405017921148,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
03133,2015,1070.9002875629042,1391,4,17326.0,90.0,96381.02588066137,5.562797291969374,7.885304659498208,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
03139,2015,1254.9825214899713,349,4,22265.0,90.0,112948.42693409741,5.072913852867614,12.544802867383513,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
03140,2015,624.1335443037975,158,4,21904.0,90.0,56172.01898734178,2.564463978603989,94.26523297491039,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
04013,2015,1106.5244338498212,1678,4,25868.0,90.0,99587.1990464839,3.8498221372539008,37.27598566308244,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
04079,2015,931.9186611374406,1688,4,22558.0,90.0,83872.67950236966,3.718090234168351,42.29390681003584,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
04902,2015,811.9965820312501,1024,4,21354.0,90.0,73079.69238281251,3.422295231938396,60.57347670250896,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
05019,2015,884.0117096018736,427,4,27274.0,90.0,79561.05386416863,2.9171025102357055,79.21146953405018,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
06011,2015,628.9166666666666,204,4,20892.0,90.0,56602.5,2.709290637564618,90.3225806451613,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
06015,2015,1144.4808695652173,1035,4,27750.0,90.0,103003.27826086956,3.7118298472385427,43.01075268817204,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
06044,2015,796.2455445544555,202,4,23759.0,90.0,71662.099009901,3.016208552965234,75.98566308243727,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
06083,2015,794.016028708134,418,4,25484.0,90.0,71461.44258373206,2.8041689916705406,85.66308243727599,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
07011,2015,2432.3677108433735,830,4,30316.0,90.0,218913.0939759036,7.221041495444769,0.35842293906810035,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
07015,2015,1583.5374179431071,457,4,27569.0,90.0,142518.36761487965,5.169515311214758,11.11111111111111,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
07026,2015,2417.1338056680165,494,4,34146.0,90.0,217542.04251012148,6.3709378114602435,1.7921146953405018,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
07027,2015,1085.1453846153845,390,4,27379.0,90.0,97663.0846153846,3.5670800473130724,52.32974910394265,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
07031,2015,1574.4973557692308,416,4,30792.0,90.0,141704.76201923078,4.601999286153247,18.27956989247312,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
07032,2015,1249.1582043343653,323,4,30568.0,90.0,112424.23839009288,3.6778408266845357,45.878136200716845,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
07033,2015,1245.0402144772117,373,4,28436.0,90.0,112053.61930294905,3.940554905856979,35.483870967741936,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
07036,2015,1637.7706806282722,382,4,38101.0,90.0,147399.3612565445,3.8686480999591746,36.91756272401434,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
