cod_ine,anio,mediana_renta_unidad_consumo,renta_neta_media_hogar,renta_neta_media_persona,pct_renta_alta_200,pct_renta_baja_60,indice_gini,ratio_p80_p20,edad_media,pct_hogares_unipersonales,pct_mayor_65,pct_menor_18,pct_poblacion_espanola,tamano_medio_hogar,fuente
03059,2018,11550,23044,8312,3.1,33.9,31.8,2.7,40.6,23.4,16.6,20.2,88.0,2.7,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03059,2019,12250,24264,8678,2.7,34.2,31.0,2.8,40.8,23.1,16.7,20.1,86.9,2.8,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03059,2020,12250,24422,8838,2.9,33.8,30.8,2.5,41.1,23.1,16.9,20.0,86.9,2.7,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03059,2021,12950,25503,9281,3.2,32.9,30.2,2.6,41.3,23.8,17.1,19.7,86.7,2.7,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03059,2022,13650,27000,9880,2.7,34.3,30.4,2.6,41.4,23.8,17.4,19.7,86.8,2.7,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03059,2023,14350,28857,10608,2.6,34.2,29.9,2.5,41.7,24.1,17.8,19.6,86.7,2.7,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03063,2015,11550,23074,8993,8.7,33.3,38.4,3.7,42.0,30.4,17.4,17.8,78.5,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03063,2016,11550,23635,9216,9.1,31.1,37.7,3.4,42.3,30.1,17.8,17.5,78.9,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03063,2017,12250,24734,9675,8.5,30.7,36.8,3.1,42.6,30.9,18.1,17.3,79.1,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03063,2018,12950,25845,10112,8.0,30.1,35.9,3.2,42.8,31.2,18.4,17.2,78.3,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03063,2019,13650,27163,10596,7.6,29.5,35.0,3.0,43.1,31.0,18.7,16.8,77.3,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03063,2020,13650,27038,10653,8.0,29.2,35.0,2.8,43.5,31.3,19.0,16.5,77.5,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03063,2021,14350,28661,11419,8.2,27.7,34.3,2.9,44.1,31.8,20.0,15.9,76.3,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03063,2022,15750,30164,11906,7.5,29.2,34.6,2.8,44.3,31.7,20.5,15.7,73.4,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03063,2023,16450,33138,12954,6.9,29.5,34.1,2.8,44.4,31.5,20.6,15.4,71.7,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03065,2015,10850,22277,8059,5.5,34.3,35.0,2.9,40.3,23.6,15.6,19.2,90.5,2.7,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03065,2016,10850,23123,8311,6.0,32.5,34.6,3.0,40.7,23.2,16.0,19.3,90.6,2.7,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03065,2017,11550,24047,8743,5.5,31.6,33.5,2.8,40.9,23.9,16.4,19.2,90.1,2.7,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03065,2018,12250,25298,9220,5.4,30.8,33.0,2.6,41.2,24.3,16.7,19.1,89.5,2.7,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03065,2019,12950,26453,9629,5.2,30.5,32.3,2.7,41.5,24.4,16.9,18.8,88.8,2.7,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03065,2020,12950,26758,9840,5.7,30.0,32.3,2.8,41.8,24.9,17.4,18.6,89.1,2.7,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03065,2021,13650,27950,10374,5.4,28.8,31.3,2.7,42.1,25.4,17.8,18.4,88.7,2.7,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03065,2022,15050,29648,11085,4.9,29.4,30.9,2.6,42.3,25.7,18.1,18.3,87.8,2.7,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03065,2023,15750,31689,11849,4.5,29.9,30.7,2.6,42.4,25.8,18.5,18.0,86.8,2.7,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03066,2015,10150,20473,7956,4.7,35.0,34.8,3.1,42.9,26.3,19.4,16.8,95.7,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03066,2016,10850,21185,8219,5.1,33.3,34.8,2.9,43.1,26.1,19.8,16.9,95.8,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03066,2017,11550,22032,8609,4.7,33.0,33.7,3.0,43.4,26.7,20.2,16.9,95.6,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03066,2018,11550,22920,8999,4.4,32.9,33.1,2.8,43.6,27.1,20.6,16.8,94.9,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03066,2019,12250,23905,9425,4.1,32.7,32.2,2.6,43.9,27.4,20.9,16.7,94.2,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03066,2020,12250,23708,9452,4.3,32.2,32.1,2.6,44.1,27.6,21.4,16.6,94.1,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03066,2021,12950,24874,9980,4.1,31.6,31.5,2.6,44.4,27.7,21.9,16.5,94.0,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03066,2022,14350,26142,10500,3.5,32.4,31.0,2.7,44.4,27.7,21.9,16.6,92.6,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03066,2023,15050,27927,11198,3.1,33.4,30.7,2.6,44.4,28.1,22.1,16.8,91.1,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03082,2015,10850,21969,8642,8.2,36.2,40.6,4.1,44.6,31.5,23.6,16.4,57.1,2.4,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03082,2016,10850,21885,8402,8.2,35.6,40.6,3.7,43.9,28.7,22.3,17.1,58.1,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03082,2017,11550,22713,8842,7.8,35.9,39.4,3.8,44.3,31.4,22.9,16.7,58.1,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03082,2018,11550,24277,9412,7.6,35.4,38.7,3.5,44.6,31.0,23.2,16.6,57.2,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03082,2019,12250,25193,9662,7.6,35.6,38.4,3.5,44.5,30.2,22.6,16.6,56.3,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03082,2020,12250,24863,9608,7.4,35.7,38.1,3.6,44.6,30.5,22.4,16.3,57.0,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03082,2021,13650,26864,10544,8.1,32.9,37.7,3.1,45.2,31.0,23.2,15.8,56.0,2.4,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03082,2022,14350,29336,11283,8.0,33.4,38.1,3.4,45.3,30.7,23.7,16.1,53.4,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03082,2023,15750,32978,12533,7.5,34.4,37.3,3.3,45.0,30.6,23.2,16.3,53.2,2.5,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03093,2015,11550,24139,8928,6.4,28.5,33.8,2.8,40.9,24.0,16.9,18.7,92.4,2.7,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03093,2016,12250,24783,9175,6.7,26.3,32.9,2.5,41.4,23.8,17.2,18.3,92.9,2.7,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03093,2017,12250,25999,9745,6.1,26.1,32.0,2.6,41.7,24.7,17.5,18.0,93.0,2.6,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03093,2018,12950,26278,9909,5.8,25.7,31.1,2.6,42.1,25.2,17.6,17.7,92.6,2.6,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
03093,2019,13650,27254,10378,5.7,25.9,30.5,2.7,42.5,25.9,18.0,17.5,92.1,2.6,"INE, Atlas de distribución de renta de los hogares, tablas 30824, 30829, 37677 y 30832"
