cod_ine,anio,trimestre,compraventas,fuente
02003,2012,4,424,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2013,1,136,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2013,2,199,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2013,3,143,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2013,4,251,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2014,1,278,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2014,2,286,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2014,3,218,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2014,4,344,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2015,1,290,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2015,2,290,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2015,3,233,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2015,4,327,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2016,1,302,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2016,2,378,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2016,3,256,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2016,4,321,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2017,1,474,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2017,2,457,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2017,3,406,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2017,4,468,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2018,1,450,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2018,2,450,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2018,3,412,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2018,4,434,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2019,1,528,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2019,2,586,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2019,3,400,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2019,4,446,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2020,1,355,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2020,2,281,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2020,3,473,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2020,4,479,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2021,1,513,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2021,2,561,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2021,3,433,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2021,4,616,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2022,1,589,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2022,2,624,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2022,3,535,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2022,4,507,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2023,1,582,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2023,2,498,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2023,3,462,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2023,4,560,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2024,1,446,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2024,2,494,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2024,3,490,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2024,4,559,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2025,1,555,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2025,2,624,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2025,3,468,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2025,4,534,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02003,2026,1,570,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2004,1,90,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2004,2,89,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2004,3,110,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2004,4,172,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2005,1,138,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2005,2,131,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2005,3,92,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2005,4,123,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2006,1,113,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2006,2,161,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2006,3,151,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2006,4,160,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2007,1,118,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2007,2,93,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2007,3,64,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2007,4,132,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2008,1,94,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2008,2,85,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2008,3,107,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2008,4,66,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2009,1,42,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2009,2,65,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2009,3,23,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2009,4,27,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2010,1,60,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2010,2,74,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2010,3,38,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2010,4,66,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2011,1,37,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2011,2,35,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2011,3,43,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2011,4,50,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2012,1,15,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2012,2,86,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2012,3,38,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2012,4,49,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2013,1,12,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2013,2,20,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2013,3,39,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2013,4,20,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2014,1,20,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2014,2,16,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2014,3,19,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2014,4,37,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2015,1,22,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2015,2,29,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2015,3,36,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2015,4,38,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2016,1,28,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2016,2,35,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2016,3,27,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2016,4,42,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2017,1,35,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2017,2,41,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2017,3,34,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2017,4,63,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
