cod_ine,nombre,anio,asequibilidad_disponible,asequibilidad_observaciones,turismo_disponible,turismo_observaciones,especulacion_disponible,especulacion_observaciones,gentrificacion_disponible,gentrificacion_observaciones,capas_disponibles,elegible_indice_completo,estado_integracion
15078,Santiago de Compostela,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
16078,Cuenca,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
17023,Blanes,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
17066,Figueres,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
17079,Girona,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
17095,Lloret de Mar,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
17114,Olot,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
17155,Salt,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
18017,Almuñecar,2015,False,0,False,0,False,0,False,0,0,False,sin_cobertura
18087,Granada,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
18140,Motril,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
19046,Azuqueca de Henares,2015,False,0,False,0,False,0,False,0,0,False,sin_cobertura
19130,Guadalajara,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
20030,Eibar,2015,False,0,False,0,False,0,False,0,0,False,sin_cobertura
20045,Irun,2015,False,0,False,0,False,0,False,0,0,False,sin_cobertura
20067,Errenteria,2015,False,0,False,0,False,0,False,0,0,False,sin_cobertura
20069,San Sebastián/Donostia,2015,False,0,False,0,False,0,False,0,0,False,sin_cobertura
21041,Huelva,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
21044,Lepe,2015,False,0,False,0,False,0,False,0,0,False,sin_cobertura
22125,Huesca,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
23005,Andújar,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
23050,Jaén,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
23055,Linares,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
23092,Úbeda,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
24089,León,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
24115,Ponferrada,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
24142,San Andrés  del Rabanedo,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
25120,Lleida,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
26089,Logroño,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
27028,Lugo,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
28005,Alcalá de Henares,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
28006,Alcobendas,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
28007,Alcorcón,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
28013,Aranjuez,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
28014,Arganda del Rey,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
28022,Boadilla del Monte,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
28045,Colmenar Viejo,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
28047,Collado Villalba,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
28049,Coslada,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
28058,Fuenlabrada,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
28061,Galapagar,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
28065,Getafe,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
28074,Leganés,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
28079,Madrid,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
28080,Majadahonda,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
28092,Móstoles,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
28096,Navalcarnero,2015,False,0,False,0,False,0,False,0,0,False,sin_cobertura
28106,Parla,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
28113,Pinto,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
28115,Pozuelo de Alarcón,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
28123,Rivas-Vaciamadrid,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
28127,Rozas de Madrid (Las),2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
28130,San Fernando de Henares,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
28134,San Sebastián de los Reyes,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
28148,Torrejón de Ardoz,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
28161,Valdemoro,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
28181,Villaviciosa de Odón,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
28903,Tres Cantos,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
29007,Alhaurín de la Torre,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
29015,Antequera,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
29025,Benalmádena,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
29051,Estepona,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
29054,Fuengirola,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
29067,Málaga,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
