cod_ine,proyeccion_duracion_max_ola_calor_dias,proyeccion_grados_dia_refrigeracion,proyeccion_racha_seca_max_dias,tendencia_asequibilidad,n_anios_asequibilidad,inicio_asequibilidad,fin_asequibilidad,tendencia_turismo,n_anios_turismo,inicio_turismo,fin_turismo,tendencia_especulacion,n_anios_especulacion,inicio_especulacion,fin_especulacion,tendencia_gentrificacion,n_anios_gentrificacion,inicio_gentrificacion,fin_gentrificacion,anio_base,horizonte_climatico,escenario_climatico,tipo_valor_climatico
08113,21.3225004196167,181.64920921325682,7.98000020980835,1.2432109223180023,9,2015,2023,-1.1885245901639343,4,2020,2023,,2,2022,2023,4.225092844683874,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08114,23.13833351135254,196.9356834411621,9.205000686645509,2.605006005684002,9,2015,2023,2.1857923497267744,4,2020,2023,,2,2022,2023,1.1501502254077256,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08121,17.74499981403351,87.45989351272583,8.829167079925536,0.6622984038400881,9,2015,2023,-1.4617486338797803,4,2020,2023,,2,2022,2023,4.140991357594078,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08124,21.47749993801117,166.22761754989625,8.464999914169312,1.0101165408081818,9,2015,2023,3.6885245901639356,4,2020,2023,,2,2022,2023,-1.0188034837527624,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08125,20.808333301544188,138.4424041748047,10.130000877380372,0.5034455878349995,9,2015,2023,-1.2295081967213108,4,2020,2023,,2,2022,2023,-5.738527528056876,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08163,18.51333327293396,94.44593734741211,10.255000114440918,-2.0218579234972696,4,2020,2023,-0.997267759562843,4,2020,2023,,2,2022,2023,,1,2023,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08169,25.168332862854005,146.7885856628418,10.64833335876465,-0.15495568557029196,9,2015,2023,-5.683060109289615,4,2020,2023,,2,2022,2023,-1.700361080538336,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08172,18.82000014781952,68.33538417816162,9.85083303451538,0.7182992527370686,9,2015,2023,-2.814207650273218,4,2020,2023,,2,2022,2023,-4.742124652281781,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08180,21.038333237171173,154.13226928710938,9.044166946411133,0.9046296995794603,9,2015,2023,-6.721311475409838,4,2020,2023,,2,2022,2023,2.376637875315822,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08184,21.49583327770233,171.3341812133789,8.77583417892456,1.2770248199268075,9,2015,2023,1.1934897514720433e-15,4,2020,2023,,2,2022,2023,-6.795259867185092,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
