cod_ine,fecha,plazas,plazas_por_vivienda,viviendas_turisticas,fuente
20067,2021-02-01,51,3.19,16,"INE, Viviendas turísticas en España, tabla 39363"
20069,2021-02-01,5120,4.2,1218,"INE, Viviendas turísticas en España, tabla 39363"
21041,2021-02-01,297,3.58,83,"INE, Viviendas turísticas en España, tabla 39363"
21044,2021-02-01,871,5.66,154,"INE, Viviendas turísticas en España, tabla 39363"
22125,2021-02-01,154,4.28,36,"INE, Viviendas turísticas en España, tabla 39363"
23005,2021-02-01,47,3.92,12,"INE, Viviendas turísticas en España, tabla 39363"
23050,2021-02-01,294,4.32,68,"INE, Viviendas turísticas en España, tabla 39363"
23055,2021-02-01,63,4.2,15,"INE, Viviendas turísticas en España, tabla 39363"
23092,2021-02-01,299,4.82,62,"INE, Viviendas turísticas en España, tabla 39363"
24089,2021-02-01,1665,4.77,349,"INE, Viviendas turísticas en España, tabla 39363"
24115,2021-02-01,415,4.23,98,"INE, Viviendas turísticas en España, tabla 39363"
24142,2021-02-01,89,6.36,14,"INE, Viviendas turísticas en España, tabla 39363"
25120,2021-02-01,341,4.16,82,"INE, Viviendas turísticas en España, tabla 39363"
26089,2021-02-01,2013,5.22,386,"INE, Viviendas turísticas en España, tabla 39363"
27028,2021-02-01,679,4.75,143,"INE, Viviendas turísticas en España, tabla 39363"
28005,2021-02-01,662,3.72,178,"INE, Viviendas turísticas en España, tabla 39363"
28006,2021-02-01,254,3.14,81,"INE, Viviendas turísticas en España, tabla 39363"
28007,2021-02-01,118,2.36,50,"INE, Viviendas turísticas en España, tabla 39363"
28013,2021-02-01,184,3.68,50,"INE, Viviendas turísticas en España, tabla 39363"
28014,2021-02-01,40,2.67,15,"INE, Viviendas turísticas en España, tabla 39363"
28022,2021-02-01,120,5.22,23,"INE, Viviendas turísticas en España, tabla 39363"
28045,2021-02-01,75,3.26,23,"INE, Viviendas turísticas en España, tabla 39363"
28047,2021-02-01,86,4.1,21,"INE, Viviendas turísticas en España, tabla 39363"
28049,2021-02-01,156,2.84,55,"INE, Viviendas turísticas en España, tabla 39363"
28058,2021-02-01,44,1.83,24,"INE, Viviendas turísticas en España, tabla 39363"
28061,2021-02-01,130,3.51,37,"INE, Viviendas turísticas en España, tabla 39363"
28065,2021-02-01,218,2.18,100,"INE, Viviendas turísticas en España, tabla 39363"
28074,2021-02-01,115,1.89,61,"INE, Viviendas turísticas en España, tabla 39363"
28079,2021-02-01,51540,3.39,15203,"INE, Viviendas turísticas en España, tabla 39363"
28080,2021-02-01,108,3.09,35,"INE, Viviendas turísticas en España, tabla 39363"
28092,2021-02-01,168,2.51,67,"INE, Viviendas turísticas en España, tabla 39363"
28096,2021-02-01,46,5.11,9,"INE, Viviendas turísticas en España, tabla 39363"
28106,2021-02-01,53,1.96,27,"INE, Viviendas turísticas en España, tabla 39363"
28113,2021-02-01,70,2.8,25,"INE, Viviendas turísticas en España, tabla 39363"
28115,2021-02-01,258,3.23,80,"INE, Viviendas turísticas en España, tabla 39363"
28123,2021-02-01,211,3.3,64,"INE, Viviendas turísticas en España, tabla 39363"
28127,2021-02-01,224,3.93,57,"INE, Viviendas turísticas en España, tabla 39363"
28130,2021-02-01,43,2.87,15,"INE, Viviendas turísticas en España, tabla 39363"
28134,2021-02-01,207,2.92,71,"INE, Viviendas turísticas en España, tabla 39363"
28148,2021-02-01,114,2.0,57,"INE, Viviendas turísticas en España, tabla 39363"
28161,2021-02-01,34,1.79,19,"INE, Viviendas turísticas en España, tabla 39363"
28181,2021-02-01,227,4.73,48,"INE, Viviendas turísticas en España, tabla 39363"
28903,2021-02-01,55,2.39,23,"INE, Viviendas turísticas en España, tabla 39363"
29007,2021-02-01,1324,6.72,197,"INE, Viviendas turísticas en España, tabla 39363"
29015,2021-02-01,638,5.5,116,"INE, Viviendas turísticas en España, tabla 39363"
29025,2021-02-01,13318,4.79,2780,"INE, Viviendas turísticas en España, tabla 39363"
29051,2021-02-01,12799,5.28,2424,"INE, Viviendas turísticas en España, tabla 39363"
29054,2021-02-01,8183,4.82,1696,"INE, Viviendas turísticas en España, tabla 39363"
29067,2021-02-01,21680,4.4,4932,"INE, Viviendas turísticas en España, tabla 39363"
29069,2021-02-01,35381,6.03,5871,"INE, Viviendas turísticas en España, tabla 39363"
29070,2021-02-01,17499,5.45,3210,"INE, Viviendas turísticas en España, tabla 39363"
29082,2021-02-01,2515,5.37,468,"INE, Viviendas turísticas en España, tabla 39363"
29084,2021-02-01,2016,4.93,409,"INE, Viviendas turísticas en España, tabla 39363"
29094,2021-02-01,3736,5.3,705,"INE, Viviendas turísticas en España, tabla 39363"
29901,2021-02-01,7777,4.22,1844,"INE, Viviendas turísticas en España, tabla 39363"
30003,2021-02-01,1569,5.3,296,"INE, Viviendas turísticas en España, tabla 39363"
30005,2021-02-01,58,6.44,9,"INE, Viviendas turísticas en España, tabla 39363"
30015,2021-02-01,203,5.08,40,"INE, Viviendas turísticas en España, tabla 39363"
30016,2021-02-01,7456,5.36,1392,"INE, Viviendas turísticas en España, tabla 39363"
30019,2021-02-01,18,9.0,2,"INE, Viviendas turísticas en España, tabla 39363"
30022,2021-02-01,182,7.58,24,"INE, Viviendas turísticas en España, tabla 39363"
30024,2021-02-01,355,5.46,65,"INE, Viviendas turísticas en España, tabla 39363"
30026,2021-02-01,2447,5.46,448,"INE, Viviendas turísticas en España, tabla 39363"
30027,2021-02-01,146,3.65,40,"INE, Viviendas turísticas en España, tabla 39363"
30030,2021-02-01,3428,4.36,786,"INE, Viviendas turísticas en España, tabla 39363"
30035,2021-02-01,4611,5.37,859,"INE, Viviendas turísticas en España, tabla 39363"
30037,2021-02-01,2616,4.94,530,"INE, Viviendas turísticas en España, tabla 39363"
30039,2021-02-01,66,6.0,11,"INE, Viviendas turísticas en España, tabla 39363"
30043,2021-02-01,105,5.0,21,"INE, Viviendas turísticas en España, tabla 39363"
31201,2021-02-01,1548,3.84,403,"INE, Viviendas turísticas en España, tabla 39363"
31232,2021-02-01,372,4.83,77,"INE, Viviendas turísticas en España, tabla 39363"
32054,2021-02-01,743,4.25,175,"INE, Viviendas turísticas en España, tabla 39363"
33004,2021-02-01,315,4.44,71,"INE, Viviendas turísticas en España, tabla 39363"
33024,2021-02-01,3393,4.49,755,"INE, Viviendas turísticas en España, tabla 39363"
33031,2021-02-01,53,4.82,11,"INE, Viviendas turísticas en España, tabla 39363"
33037,2021-02-01,79,4.16,19,"INE, Viviendas turísticas en España, tabla 39363"
33044,2021-02-01,1971,4.01,491,"INE, Viviendas turísticas en España, tabla 39363"
33066,2021-02-01,242,5.76,42,"INE, Viviendas turísticas en España, tabla 39363"
34120,2021-02-01,101,4.04,25,"INE, Viviendas turísticas en España, tabla 39363"
35002,2021-02-01,980,4.32,227,"INE, Viviendas turísticas en España, tabla 39363"
35004,2021-02-01,1424,3.85,370,"INE, Viviendas turísticas en España, tabla 39363"
35006,2021-02-01,531,4.83,110,"INE, Viviendas turísticas en España, tabla 39363"
35011,2021-02-01,397,5.16,77,"INE, Viviendas turísticas en España, tabla 39363"
35014,2021-02-01,11694,4.39,2662,"INE, Viviendas turísticas en España, tabla 39363"
35016,2021-02-01,7484,3.56,2101,"INE, Viviendas turísticas en España, tabla 39363"
35017,2021-02-01,1529,4.38,349,"INE, Viviendas turísticas en España, tabla 39363"
35019,2021-02-01,13421,4.24,3166,"INE, Viviendas turísticas en España, tabla 39363"
35022,2021-02-01,1222,3.85,317,"INE, Viviendas turísticas en España, tabla 39363"
35026,2021-02-01,1472,4.27,345,"INE, Viviendas turísticas en España, tabla 39363"
36008,2021-02-01,1149,5.15,223,"INE, Viviendas turísticas en España, tabla 39363"
36026,2021-02-01,507,5.76,88,"INE, Viviendas turísticas en España, tabla 39363"
36038,2021-02-01,1174,4.57,257,"INE, Viviendas turísticas en España, tabla 39363"
36045,2021-02-01,312,5.47,57,"INE, Viviendas turísticas en España, tabla 39363"
36057,2021-02-01,2766,3.99,693,"INE, Viviendas turísticas en España, tabla 39363"
36060,2021-02-01,935,5.37,174,"INE, Viviendas turísticas en España, tabla 39363"
37274,2021-02-01,2711,3.77,719,"INE, Viviendas turísticas en España, tabla 39363"
38001,2021-02-01,15270,4.85,3148,"INE, Viviendas turísticas en España, tabla 39363"
38006,2021-02-01,12930,4.1,3156,"INE, Viviendas turísticas en España, tabla 39363"
38011,2021-02-01,982,4.11,239,"INE, Viviendas turísticas en España, tabla 39363"
38017,2021-02-01,3928,4.24,927,"INE, Viviendas turísticas en España, tabla 39363"
38023,2021-02-01,1912,3.59,532,"INE, Viviendas turísticas en España, tabla 39363"
