cod_ine,anio,tasa_rotacion,aceleracion_precio,desacoplamiento_precio_renta,percentil_tasa_rotacion,percentil_aceleracion_precio,percentil_desacoplamiento_precio_renta,score_presion_especulativa,metodo,version_metodologia
30027,2022,3.257566549167376,-0.039662082044179,-0.0569512361948598,76.06557377049181,19.34426229508197,11.475409836065573,35.62841530054646,media_percentiles_iguales,1.0
30030,2022,3.0344953126422136,-0.0019532402813451,0.0167827107096021,64.26229508196721,48.19672131147541,86.88524590163935,66.44808743169399,media_percentiles_iguales,1.0
30035,2022,4.113893454510297,-0.0534856932299618,-0.0150134710025866,89.50819672131148,14.426229508196721,46.885245901639344,50.27322404371585,media_percentiles_iguales,1.0
30037,2022,6.415818073884652,-0.0835025036945473,-0.0644630517651985,98.68852459016394,3.9344262295081966,6.885245901639344,36.502732240437155,media_percentiles_iguales,1.0
30039,2022,2.040285899935023,0.0288564121183012,-0.00256350458669,12.78688524590164,72.1311475409836,66.55737704918033,50.49180327868853,media_percentiles_iguales,1.0
30043,2022,2.2710736929633093,-0.0938908612030741,-0.1107339699699353,22.62295081967213,2.2950819672131146,0.6557377049180327,8.524590163934425,media_percentiles_iguales,1.0
31201,2022,2.7680163780458207,0.1032474939235772,0.0638642929261541,47.868852459016395,99.34426229508196,99.67213114754098,82.29508196721311,media_percentiles_iguales,1.0
31232,2022,2.8458869877109425,0.0407879810707758,0.011543470358263,51.80327868852459,82.62295081967213,81.9672131147541,72.1311475409836,media_percentiles_iguales,1.0
32054,2022,1.499436970307592,0.0544012395655123,0.0006176555496109,1.639344262295082,91.14754098360656,70.49180327868852,54.42622950819672,media_percentiles_iguales,1.0
33004,2022,2.026196330622281,-0.0597510004672263,-0.0482968284312734,12.131147540983607,12.131147540983607,18.688524590163933,14.316939890710382,media_percentiles_iguales,1.0
33024,2022,2.3913262394682957,0.0055898649887169,-0.0026553250642027,27.21311475409836,55.40983606557377,66.22950819672131,49.61748633879781,media_percentiles_iguales,1.0
33031,2022,2.183961174023573,-0.0205977854638328,-0.0478450656805682,17.049180327868854,30.16393442622951,19.016393442622952,22.07650273224044,media_percentiles_iguales,1.0
33037,2022,1.750521678645954,-0.0816439921277907,-0.0763369399437976,4.262295081967213,4.262295081967213,2.622950819672131,3.7158469945355193,media_percentiles_iguales,1.0
33044,2022,2.432198726515211,-0.0499460226306456,-0.0389197079484242,29.18032786885246,15.737704918032787,24.918032786885245,23.278688524590166,media_percentiles_iguales,1.0
33066,2022,2.549967871757584,-0.0920400768936153,-0.0563807361888988,35.08196721311475,2.622950819672131,12.459016393442623,16.721311475409838,media_percentiles_iguales,1.0
34120,2022,2.216991705895539,-0.003235263060108,-0.0183740261084621,19.34426229508197,46.22950819672131,42.950819672131146,36.17486338797814,media_percentiles_iguales,1.0
35002,2022,2.116254785938044,-0.0381879928918411,-0.0745153176490716,15.081967213114755,20.0,3.278688524590164,12.786885245901638,media_percentiles_iguales,1.0
35004,2022,2.849362642566794,0.0036027388475694,-0.106781885911614,52.131147540983605,53.442622950819676,0.9836065573770492,35.51912568306011,media_percentiles_iguales,1.0
35006,2022,2.0172910662824206,-0.0142242884381418,-0.0236789412159532,11.475409836065573,36.39344262295082,37.049180327868854,28.30601092896175,media_percentiles_iguales,1.0
35011,2022,1.9739211872343492,0.0486575241761459,-0.0162716246013421,10.819672131147541,89.18032786885246,44.91803278688525,48.30601092896175,media_percentiles_iguales,1.0
35014,2022,7.813887408985971,0.1121287693328416,0.0250265436964816,100.0,100.0,91.47540983606558,97.1584699453552,media_percentiles_iguales,1.0
35016,2022,2.440903979312825,-0.0234220051850158,-0.026289738504545,29.83606557377049,28.852459016393443,34.09836065573771,30.92896174863388,media_percentiles_iguales,1.0
35017,2022,2.9545576192260343,0.0634402170524671,-0.0468602904219266,58.68852459016394,93.44262295081967,19.34426229508197,57.158469945355186,media_percentiles_iguales,1.0
35019,2022,5.365317707379601,0.0445326923836333,-0.0040023595993528,96.72131147540983,84.59016393442623,64.26229508196721,81.85792349726776,media_percentiles_iguales,1.0
35022,2022,2.2586592914526538,0.0287122597345894,-0.0542234599701771,21.311475409836067,71.80327868852459,14.098360655737705,35.73770491803278,media_percentiles_iguales,1.0
35026,2022,1.6923768159353003,-0.0613037685689219,-0.0600027581100945,2.9508196721311477,10.819672131147541,9.508196721311476,7.759562841530055,media_percentiles_iguales,1.0
36008,2022,1.2586612421333672,0.0695781040922087,0.0114964327540005,0.6557377049180327,94.75409836065573,81.63934426229508,59.01639344262295,media_percentiles_iguales,1.0
36026,2022,1.1767512125308102,-0.0558070924716489,-0.0666669581880006,0.32786885245901637,13.442622950819672,6.229508196721311,6.666666666666667,media_percentiles_iguales,1.0
36038,2022,1.941565445762791,0.029785566503244,0.0325843297748897,8.524590163934427,72.45901639344262,95.40983606557377,58.797814207650276,media_percentiles_iguales,1.0
36045,2022,1.1044671122054168,-0.0317962152953612,-0.0383940082381841,0.0,22.950819672131146,25.24590163934426,16.065573770491802,media_percentiles_iguales,1.0
