cod_ine,anio,poblacion,fuente
03009,2006,60590,"INE, Padrón municipal, tablas provinciales 2854–2909"
03009,2007,60700,"INE, Padrón municipal, tablas provinciales 2854–2909"
03009,2008,61698,"INE, Padrón municipal, tablas provinciales 2854–2909"
03009,2009,61552,"INE, Padrón municipal, tablas provinciales 2854–2909"
03009,2010,61417,"INE, Padrón municipal, tablas provinciales 2854–2909"
03009,2011,61093,"INE, Padrón municipal, tablas provinciales 2854–2909"
03009,2012,60837,"INE, Padrón municipal, tablas provinciales 2854–2909"
03009,2013,60105,"INE, Padrón municipal, tablas provinciales 2854–2909"
03009,2014,59675,"INE, Padrón municipal, tablas provinciales 2854–2909"
03009,2015,59567,"INE, Padrón municipal, tablas provinciales 2854–2909"
03009,2016,59198,"INE, Padrón municipal, tablas provinciales 2854–2909"
03009,2017,59106,"INE, Padrón municipal, tablas provinciales 2854–2909"
03009,2018,58977,"INE, Padrón municipal, tablas provinciales 2854–2909"
03009,2019,58994,"INE, Padrón municipal, tablas provinciales 2854–2909"
03009,2020,59354,"INE, Padrón municipal, tablas provinciales 2854–2909"
03009,2021,59128,"INE, Padrón municipal, tablas provinciales 2854–2909"
03009,2022,58960,"INE, Padrón municipal, tablas provinciales 2854–2909"
03009,2023,59493,"INE, Padrón municipal, tablas provinciales 2854–2909"
03009,2024,60372,"INE, Padrón municipal, tablas provinciales 2854–2909"
03009,2025,61468,"INE, Padrón municipal, tablas provinciales 2854–2909"
03014,1996,274577,"INE, Padrón municipal, tablas provinciales 2854–2909"
03014,1998,272432,"INE, Padrón municipal, tablas provinciales 2854–2909"
03014,1999,272432,"INE, Padrón municipal, tablas provinciales 2854–2909"
03014,2000,276886,"INE, Padrón municipal, tablas provinciales 2854–2909"
03014,2001,283243,"INE, Padrón municipal, tablas provinciales 2854–2909"
03014,2002,293629,"INE, Padrón municipal, tablas provinciales 2854–2909"
03014,2003,305911,"INE, Padrón municipal, tablas provinciales 2854–2909"
03014,2004,310330,"INE, Padrón municipal, tablas provinciales 2854–2909"
