componente,variable,anio,archivo,fuente,comparabilidad,cambios_metodologicos,primer_anio,ultimo_anio,frecuencia,municipios_validos,observaciones,cobertura_pct,anios_ausentes
turismo,vut_por_1000_hab,1997,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_1000_hab,1998,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_1000_hab,1999,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_1000_hab,2000,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_1000_hab,2001,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_1000_hab,2002,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_1000_hab,2003,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_1000_hab,2004,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_1000_hab,2005,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_1000_hab,2006,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_1000_hab,2007,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_1000_hab,2008,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_1000_hab,2009,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_1000_hab,2010,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_1000_hab,2011,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_1000_hab,2012,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_1000_hab,2013,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_1000_hab,2014,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_1000_hab,2015,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_1000_hab,2016,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_1000_hab,2017,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_1000_hab,2018,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_1000_hab,2019,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_1000_hab,2020,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,306,306,100.0,[]
