cod_ine,anio,ipr_score,ipr_percentile,rank,delta_ipr,delta_since_start,rank_change,calculation_version,dataset_sha256
41091,2023,77.36572890025576,90.21739130434783,28,2.6641091219096324,-8.983375959079282,-7.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41095,2020,50.80988917306053,51.08695652173913,136,,0.0,,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41095,2021,34.87851662404092,23.55072463768116,212,-15.931372549019613,-15.931372549019613,76.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41095,2022,48.80647911338448,48.91304347826087,142,13.927962489343564,-2.0034100596760496,-70.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
41095,2023,36.10400682011935,24.818840579710145,208,-12.702472293265131,-14.705882352941181,66.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
42173,2020,30.21099744245524,15.217391304347826,235,,0.0,,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
42173,2021,36.98849104859335,25.72463768115942,206,6.777493606138112,6.777493606138112,-29.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
42173,2022,36.96717817561807,24.27536231884058,210,-0.021312872975279618,6.756180733162832,4.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
42173,2023,46.49403239556692,43.11594202898551,158,9.526854219948845,16.283034953111677,-52.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
43038,2020,57.608695652173914,64.1304347826087,100,,0.0,,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
43038,2021,74.52046035805627,89.85507246376811,29,16.911764705882355,16.911764705882355,-71.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
43038,2022,53.473998294970166,57.608695652173914,118,-21.046462063086103,-4.134697357203748,89.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
43038,2023,65.07885763000853,77.89855072463769,62,11.604859335038363,7.470161977834614,-56.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
43123,2020,42.487212276214834,31.159420289855074,191,,0.0,,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
43123,2021,48.26300085251492,45.65217391304348,151,5.775788576300087,5.775788576300087,-40.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
43123,2022,35.19820971867008,22.82608695652174,214,-13.064791133844842,-7.289002557544755,63.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
43123,2023,41.1231884057971,32.608695652173914,187,5.924978687127023,-1.364023870417732,-27.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
43148,2020,34.33503836317136,19.202898550724637,224,,0.0,,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
43148,2021,63.06479113384484,72.64492753623189,76,28.729752770673485,28.729752770673485,-148.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
43148,2022,58.461210571185,65.21739130434783,97,-4.603580562659843,24.126172208013642,21.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
43148,2023,61.0613810741688,72.46376811594203,77,2.6001705029838007,26.726342710997443,-20.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
43155,2020,23.657289002557548,9.420289855072463,251,,0.0,,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
43155,2021,30.988917306052855,18.115942028985508,227,7.331628303495307,7.331628303495307,-24.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
43155,2022,28.92156862745098,16.304347826086957,232,-2.067348678601874,5.264279624893433,5.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
43155,2023,18.233162830349528,6.884057971014493,258,-10.688405797101453,-5.42412617220802,26.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
43163,2020,65.20673486786018,81.52173913043478,52,,0.0,,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
43163,2021,71.83503836317135,85.8695652173913,40,6.628303495311172,6.628303495311172,-12.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
43163,2022,75.0,88.04347826086956,34,3.16496163682865,9.793265132139823,-6.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
43163,2023,68.70204603580562,81.8840579710145,51,-6.297953964194377,3.495311167945445,17.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
44216,2020,42.54049445865303,31.884057971014492,189,,0.0,,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
44216,2021,23.99829497016198,8.695652173913043,253,-18.54219948849105,-18.54219948849105,64.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
44216,2022,43.06265984654731,36.231884057971016,177,19.064364876385334,0.5221653878942831,-76.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
