cod_ine,anio,indice_gini,ratio_p80_p20
06153,2023,28.2,2.3
07011,2015,37.1,3.0
07011,2016,37.5,3.1
07011,2017,35.6,2.8
07011,2018,35.0,2.7
07011,2019,34.3,2.7
07011,2020,36.4,3.0
07011,2021,34.8,2.7
07011,2022,34.1,2.6
07011,2023,33.4,2.5
07015,2015,31.0,2.4
07015,2016,30.5,2.5
07015,2017,28.9,2.2
07015,2018,28.7,2.3
07015,2019,28.1,2.2
07015,2020,30.3,2.6
07015,2021,28.6,2.2
07015,2022,27.9,2.1
07015,2023,27.9,2.2
07026,2015,33.2,2.6
07026,2016,32.7,2.8
07026,2017,32.1,2.5
07026,2018,32.0,2.5
07026,2019,31.7,2.6
07026,2020,33.5,2.8
07026,2021,31.8,2.6
07026,2022,31.3,2.5
07026,2023,31.5,2.4
07027,2015,32.8,2.8
07027,2016,31.5,2.7
07027,2017,30.1,2.4
07027,2018,29.6,2.4
07027,2019,29.0,2.5
07027,2020,30.3,2.6
07027,2021,29.6,2.6
07027,2022,28.5,2.4
07027,2023,27.9,2.4
07031,2015,33.7,2.8
07031,2016,33.7,2.8
07031,2017,31.8,2.5
07031,2018,31.6,2.7
07031,2019,30.7,2.6
07031,2020,32.0,2.8
07031,2021,30.9,2.6
07031,2022,30.0,2.4
07031,2023,29.3,2.3
07032,2015,32.6,2.8
07032,2016,32.3,2.6
07032,2017,31.4,2.5
07032,2018,30.8,2.6
07032,2019,30.2,2.6
07032,2020,31.8,2.7
07032,2021,30.4,2.5
07032,2022,29.8,2.5
07032,2023,29.8,2.3
07033,2015,31.7,2.6
07033,2016,31.3,2.7
07033,2017,30.3,2.5
07033,2018,30.1,2.5
07033,2019,29.3,2.4
07033,2020,30.9,2.6
07033,2021,30.3,2.6
07033,2022,29.4,2.4
07033,2023,28.9,2.4
07036,2015,28.9,2.5
07036,2016,28.4,2.4
07036,2017,27.7,2.3
07036,2018,27.2,2.2
07036,2019,26.9,2.2
07036,2020,27.6,2.4
07036,2021,26.6,2.2
07036,2022,26.2,2.2
07036,2023,26.1,2.1
07040,2015,35.6,3.1
07040,2016,35.3,3.1
07040,2017,33.5,2.8
07040,2018,33.0,2.7
07040,2019,32.5,2.6
07040,2020,33.5,2.9
07040,2021,32.7,2.7
07040,2022,31.9,2.6
07040,2023,31.3,2.5
07054,2015,35.6,2.8
07054,2016,35.5,2.9
07054,2017,33.8,2.7
07054,2018,33.7,2.7
07054,2019,33.6,2.6
07054,2020,34.7,2.8
07054,2021,33.5,2.7
07054,2022,33.1,2.5
07054,2023,32.9,2.5
08015,2015,32.7,2.9
08015,2016,32.4,2.7
08015,2017,31.4,2.8
08015,2018,30.8,2.7
08015,2019,30.5,2.8
08015,2020,30.9,2.8
08015,2021,30.7,2.7
08015,2022,30.3,2.6
08015,2023,30.0,2.6
08019,2015,36.8,3.2
08019,2016,37.0,3.3
08019,2017,36.4,3.1
08019,2018,36.2,3.2
08019,2019,35.8,3.1
08019,2020,35.7,3.1
08019,2021,35.1,3.1
08019,2022,35.1,3.0
08019,2023,34.9,3.0
08056,2015,37.1,3.1
08056,2016,37.1,3.2
08056,2017,36.2,3.1
08056,2018,35.9,3.0
08056,2019,35.7,3.1
08056,2020,35.1,3.1
08056,2021,34.6,2.9
08056,2022,35.1,3.0
08056,2023,34.7,3.0
08073,2015,30.5,2.7
08073,2016,30.5,2.8
08073,2017,29.3,2.6
08073,2018,28.9,2.5
08073,2019,28.7,2.5
08073,2020,29.2,2.7
08073,2021,29.0,2.6
08073,2022,28.7,2.5
08073,2023,28.6,2.5
08077,2015,33.9,2.7
08077,2016,33.9,2.8
08077,2017,33.2,2.7
08077,2018,32.8,2.7
08077,2019,32.3,2.5
08077,2020,32.3,2.7
08077,2021,32.3,2.7
08077,2022,32.3,2.6
08077,2023,32.3,2.5
08089,2015,33.1,2.8
08089,2016,32.8,2.7
08089,2017,31.9,2.7
08089,2018,31.3,2.6
08089,2019,30.8,2.6
08089,2020,31.0,2.6
08089,2021,31.0,2.5
08089,2022,30.5,2.5
08089,2023,30.5,2.5
08096,2015,34.3,2.9
08096,2016,34.1,3.0
08096,2017,32.6,2.8
08096,2018,31.9,2.7
08096,2019,31.3,2.6
08096,2020,31.4,2.6
08096,2021,30.6,2.6
08096,2022,30.2,2.5
08096,2023,29.8,2.5
08101,2015,32.6,3.0
08101,2016,32.5,3.1
08101,2017,31.5,2.8
08101,2018,30.9,2.8
08101,2019,30.6,2.6
08101,2020,31.1,2.8
08101,2021,30.5,2.7
08101,2022,30.5,2.6
08101,2023,30.3,2.7
08102,2015,32.5,2.8
08102,2016,32.9,2.9
08102,2017,31.4,2.8
08102,2018,31.0,2.7
08102,2019,30.5,2.7
08102,2020,30.8,2.7
08102,2021,30.3,2.7
08102,2022,30.0,2.6
08102,2023,29.9,2.6
08113,2015,35.2,3.4
08113,2016,34.8,3.2
08113,2017,33.2,2.9
08113,2018,32.7,3.0
08113,2019,32.4,2.9
08113,2020,32.6,2.9
08113,2021,32.1,3.0
08113,2022,32.1,2.9
08113,2023,31.4,2.8
08114,2015,31.3,2.8
08114,2016,31.1,2.8
08114,2017,29.9,2.7
08114,2018,29.8,2.8
08114,2019,29.2,2.7
08114,2020,29.5,2.7
08114,2021,29.5,2.6
08114,2022,28.8,2.5
08114,2023,28.5,2.5
08121,2015,34.5,3.1
08121,2016,33.6,2.9
08121,2017,32.5,2.9
08121,2018,31.8,2.8
08121,2019,31.4,2.7
08121,2020,31.8,2.7
08121,2021,31.0,2.7
08121,2022,30.6,2.6
08121,2023,30.0,2.5
08124,2015,29.5,2.5
08124,2016,29.1,2.6
08124,2017,28.4,2.4
08124,2018,27.5,2.4
08124,2019,27.2,2.3
08124,2020,27.3,2.3
08124,2021,26.7,2.3
08124,2022,26.7,2.2
08124,2023,26.5,2.4
08125,2015,31.4,2.7
08125,2016,31.4,2.8
08125,2017,30.0,2.6
08125,2018,29.7,2.7
08125,2019,29.6,2.6
08125,2020,29.9,2.6
08125,2021,29.5,2.6
08125,2022,28.6,2.5
08125,2023,28.2,2.4
08163,2015,33.4,2.7
08163,2016,32.7,2.8
08163,2017,31.4,2.7
08163,2018,30.4,2.5
08163,2019,30.1,2.5
