cod_ine,anio,edad_media,pct_hogares_unipersonales,pct_mayor_65,pct_menor_18,pct_poblacion_espanola,tamano_medio_hogar
04902,2022,37.1,25.2,10.3,22.5,68.7,2.8
04902,2023,37.5,25.3,10.8,22.5,69.1,2.8
05019,2015,42.0,35.2,18.0,18.1,91.7,2.3
05019,2016,42.4,32.9,18.5,18.0,91.9,2.4
05019,2017,42.5,35.4,18.9,18.3,93.3,2.3
05019,2018,42.9,34.4,19.3,18.1,93.0,2.3
05019,2019,43.2,35.2,19.7,18.0,92.1,2.3
05019,2020,43.5,34.3,20.1,18.1,92.5,2.3
05019,2021,43.9,35.5,20.8,17.9,92.6,2.3
05019,2022,44.0,34.7,21.2,17.7,90.8,2.3
05019,2023,44.2,35.8,21.7,17.4,89.9,2.3
06011,2015,39.2,25.1,15.1,20.1,89.1,2.7
06011,2016,39.6,24.9,15.6,20.3,91.3,2.6
06011,2017,39.8,25.7,15.8,20.3,91.3,2.6
06011,2018,40.2,26.2,16.1,20.3,91.3,2.6
06011,2019,40.4,26.5,16.2,20.2,90.6,2.6
06011,2020,40.7,27.0,16.5,20.0,90.7,2.6
06011,2021,41.1,27.7,16.8,19.6,90.9,2.5
06011,2022,41.4,27.9,17.1,19.6,90.8,2.5
06011,2023,41.5,28.0,17.4,19.4,90.1,2.5
06015,2015,40.1,25.0,15.4,19.5,96.7,2.7
06015,2016,40.3,24.6,15.7,19.6,96.7,2.7
06015,2017,40.7,25.3,16.0,19.4,96.7,2.6
06015,2018,41.0,25.7,16.5,19.3,96.6,2.6
06015,2019,41.4,26.2,16.9,19.1,96.4,2.6
06015,2020,41.8,26.4,17.3,18.8,96.4,2.6
06015,2021,42.1,27.2,17.8,18.6,96.5,2.6
06015,2022,42.5,27.9,18.2,18.2,96.1,2.5
06015,2023,42.8,28.5,18.8,17.9,95.8,2.5
06044,2015,39.7,26.4,14.8,19.7,96.9,2.6
06044,2016,40.0,26.4,15.0,19.7,97.2,2.6
06044,2017,40.3,26.4,15.4,19.5,97.0,2.6
06044,2018,40.6,27.2,15.8,19.5,96.9,2.6
06044,2019,40.8,27.6,16.0,19.4,96.6,2.5
06044,2020,41.1,27.8,16.3,19.3,96.4,2.5
06044,2021,41.5,27.6,16.8,19.0,96.2,2.5
06044,2022,41.8,28.6,17.0,18.9,95.7,2.5
06044,2023,42.1,29.2,17.7,18.7,95.4,2.5
06083,2015,39.7,25.8,14.6,20.1,97.4,2.6
06083,2016,40.1,26.0,14.9,20.0,97.5,2.6
06083,2017,40.4,26.6,15.3,20.0,97.3,2.6
06083,2018,40.7,26.8,15.6,19.8,97.1,2.6
06083,2019,41.1,27.2,16.0,19.5,96.7,2.6
06083,2020,41.4,27.4,16.3,19.3,96.7,2.6
06083,2021,41.7,27.6,16.7,19.0,96.7,2.5
06083,2022,42.0,27.7,17.1,18.6,96.1,2.5
06083,2023,42.3,28.4,17.7,18.3,95.5,2.5
06153,2015,41.1,24.0,17.2,18.5,95.9,2.6
06153,2016,41.4,23.5,17.5,18.5,95.9,2.6
06153,2017,41.7,24.3,17.9,18.5,96.0,2.6
06153,2018,42.0,24.8,18.2,18.3,95.8,2.6
06153,2019,42.3,25.2,18.5,18.1,95.3,2.6
06153,2020,42.6,25.9,18.8,18.1,95.0,2.6
06153,2021,42.8,26.1,19.0,18.0,94.9,2.6
06153,2022,43.1,26.8,19.5,17.7,95.2,2.5
06153,2023,43.5,27.6,20.1,17.5,95.0,2.5
07011,2015,40.0,29.9,13.1,18.1,68.5,2.5
07011,2016,40.1,26.7,13.3,18.1,69.8,2.6
07011,2017,40.4,30.3,13.8,17.8,69.4,2.5
07011,2018,40.5,30.2,14.1,17.7,68.8,2.6
07011,2019,40.9,29.9,14.6,17.1,68.0,2.6
07011,2020,41.3,30.2,15.2,17.0,68.2,2.5
07011,2021,41.6,30.4,15.9,16.9,67.7,2.5
07011,2022,42.0,30.4,16.4,16.6,66.4,2.5
07011,2023,42.4,30.6,16.9,16.2,66.3,2.5
07015,2015,40.4,28.6,15.2,18.8,91.1,2.6
07015,2016,40.7,27.0,15.5,18.7,91.0,2.6
07015,2017,40.9,28.3,15.8,18.3,90.5,2.6
07015,2018,41.1,28.3,16.1,17.8,90.1,2.6
07015,2019,41.3,28.5,16.1,17.4,89.2,2.6
07015,2020,41.8,29.0,16.5,17.1,89.4,2.6
07015,2021,42.1,29.1,16.8,16.9,89.5,2.6
07015,2022,42.2,29.4,16.8,16.4,88.4,2.6
07015,2023,42.6,30.2,17.2,15.7,88.2,2.6
07026,2015,38.8,26.4,11.5,16.5,75.7,2.8
07026,2016,38.9,25.3,11.6,16.9,76.0,2.8
07026,2017,39.3,26.3,12.1,16.9,75.3,2.8
07026,2018,39.6,26.7,12.5,16.6,74.9,2.8
07026,2019,39.8,26.3,12.6,16.3,73.6,2.8
07026,2020,40.1,26.5,12.9,16.2,73.7,2.8
07026,2021,40.5,26.7,13.2,16.0,73.6,2.8
07026,2022,40.6,26.6,13.4,15.7,73.5,2.8
07026,2023,40.7,26.7,13.4,15.5,72.9,2.8
07027,2015,38.4,23.4,14.3,21.6,85.2,2.8
07027,2016,38.6,23.1,14.3,21.5,85.5,2.8
07027,2017,38.7,23.4,14.2,21.3,84.9,2.8
07027,2018,38.9,22.6,14.2,21.0,83.6,2.9
07027,2019,39.1,23.2,14.3,21.0,82.7,2.9
