cod_ine,anio,pct_renta_alta_200,pct_renta_baja_60
06044,2022,6.0,25.3
06044,2023,5.7,25.3
06083,2015,9.5,26.6
06083,2016,10.1,25.8
06083,2017,8.9,25.7
06083,2018,8.4,25.1
06083,2019,8.1,24.6
06083,2020,8.3,25.4
06083,2021,8.0,24.1
06083,2022,7.0,24.6
06083,2023,6.2,24.6
06153,2015,6.4,29.7
06153,2016,6.3,29.6
06153,2017,5.6,28.5
06153,2018,5.3,28.4
06153,2019,4.8,27.5
06153,2020,5.2,27.2
06153,2021,4.9,25.7
06153,2022,4.2,27.4
06153,2023,4.0,27.3
07011,2015,15.0,20.5
07011,2016,15.5,20.4
07011,2017,15.5,17.3
07011,2018,15.2,16.4
07011,2019,14.3,17.1
07011,2020,12.6,22.7
07011,2021,13.3,18.8
07011,2022,13.2,17.3
07011,2023,12.5,16.8
07015,2015,9.7,17.4
07015,2016,10.2,16.0
07015,2017,10.1,14.0
07015,2018,9.6,13.8
07015,2019,9.4,13.9
07015,2020,8.9,18.5
07015,2021,9.9,13.3
07015,2022,9.4,13.1
07015,2023,9.4,12.7
07026,2015,16.2,15.9
07026,2016,17.8,13.5
07026,2017,17.5,13.1
07026,2018,17.8,12.9
07026,2019,17.1,12.8
07026,2020,15.0,17.8
07026,2021,15.9,14.1
07026,2022,16.1,13.4
07026,2023,15.1,13.5
07027,2015,8.4,23.4
07027,2016,9.2,20.6
07027,2017,8.3,19.2
07027,2018,7.7,19.2
07027,2019,7.5,19.1
07027,2020,6.7,23.1
07027,2021,6.7,21.7
07027,2022,6.3,19.9
07027,2023,6.0,19.3
07031,2015,14.1,18.6
07031,2016,14.7,18.7
07031,2017,14.6,15.1
07031,2018,14.5,15.0
07031,2019,14.0,14.6
07031,2020,12.4,19.0
07031,2021,12.5,16.6
07031,2022,11.7,15.1
07031,2023,10.9,14.3
07032,2015,14.4,17.1
07032,2016,15.3,15.9
07032,2017,14.8,14.9
07032,2018,14.1,14.6
07032,2019,13.7,14.9
07032,2020,13.1,17.4
07032,2021,13.2,14.2
07032,2022,12.3,14.2
07032,2023,11.7,14.5
07033,2015,9.0,21.3
07033,2016,9.5,19.8
07033,2017,9.3,18.7
07033,2018,8.9,18.5
07033,2019,8.9,17.7
07033,2020,7.6,22.7
07033,2021,7.8,21.5
07033,2022,7.6,19.8
07033,2023,7.0,19.1
07036,2015,19.2,10.6
07036,2016,20.5,9.4
07036,2017,19.1,8.8
07036,2018,19.2,8.4
07036,2019,18.8,8.2
07036,2020,17.4,9.2
07036,2021,17.3,8.8
07036,2022,16.6,8.1
07036,2023,16.2,7.9
07040,2015,15.6,20.7
07040,2016,16.2,19.6
07040,2017,16.0,16.8
07040,2018,15.8,15.9
07040,2019,15.2,16.0
07040,2020,14.1,19.1
07040,2021,14.1,17.6
07040,2022,13.4,16.8
07040,2023,12.8,16.3
07054,2015,12.4,21.9
07054,2016,13.8,20.2
07054,2017,14.8,16.9
07054,2018,14.3,16.7
07054,2019,14.4,16.2
07054,2020,12.6,20.3
07054,2021,14.6,16.5
07054,2022,15.1,15.0
07054,2023,14.6,15.1
08015,2015,11.9,20.4
08015,2016,12.9,19.0
08015,2017,11.7,19.1
08015,2018,11.1,18.7
08015,2019,10.7,18.8
08015,2020,11.1,19.6
08015,2021,10.9,19.0
08015,2022,9.5,19.9
08015,2023,8.5,20.3
08019,2015,26.0,15.8
08019,2016,27.1,15.4
08019,2017,25.6,15.4
08019,2018,24.6,15.4
08019,2019,23.8,15.3
08019,2020,23.9,16.0
08019,2021,23.4,15.3
08019,2022,21.5,16.1
08019,2023,20.0,16.5
08056,2015,24.6,16.7
08056,2016,25.9,15.9
08056,2017,24.6,15.5
08056,2018,23.7,15.1
08056,2019,23.3,15.1
08056,2020,23.4,15.1
08056,2021,23.3,14.4
08056,2022,21.7,15.3
08056,2023,20.1,15.8
08073,2015,12.4,17.5
08073,2016,13.4,16.3
08073,2017,12.0,16.0
08073,2018,11.5,15.8
08073,2019,11.1,15.9
08073,2020,11.4,16.6
08073,2021,11.0,16.4
08073,2022,9.2,17.7
08073,2023,8.3,18.3
08077,2015,20.8,13.8
08077,2016,21.9,12.7
08077,2017,20.3,12.8
08077,2018,19.4,12.8
08077,2019,19.0,12.6
08077,2020,19.0,13.0
08077,2021,18.8,12.5
08077,2022,16.7,13.9
08077,2023,15.3,14.8
08089,2015,18.0,15.4
08089,2016,19.2,14.6
08089,2017,17.4,14.2
08089,2018,16.9,13.6
08089,2019,16.4,13.4
08089,2020,17.1,13.4
08089,2021,17.0,13.0
08089,2022,14.8,13.7
08089,2023,13.7,14.3
08096,2015,16.4,19.0
08096,2016,17.6,17.7
08096,2017,16.0,17.2
08096,2018,15.5,16.4
08096,2019,15.1,16.2
08096,2020,15.3,16.1
08096,2021,14.8,15.0
08096,2022,13.2,15.9
08096,2023,11.7,16.2
08101,2015,10.4,22.9
08101,2016,11.0,22.1
08101,2017,9.6,21.8
08101,2018,9.0,21.4
08101,2019,8.4,21.6
08101,2020,8.7,22.7
08101,2021,8.4,21.7
08101,2022,6.9,23.8
08101,2023,6.1,24.8
08102,2015,15.4,18.0
08102,2016,16.9,17.5
08102,2017,15.0,16.9
08102,2018,14.2,16.4
08102,2019,13.9,16.8
08102,2020,14.1,16.9
08102,2021,13.7,16.3
08102,2022,11.8,16.8
08102,2023,11.0,17.8
08113,2015,15.4,21.7
08113,2016,16.3,20.3
08113,2017,14.7,20.2
08113,2018,13.5,20.1
08113,2019,12.7,21.2
08113,2020,13.1,21.1
08113,2021,12.6,21.1
08113,2022,10.5,22.4
08113,2023,9.3,22.6
08114,2015,13.5,17.9
08114,2016,14.2,17.3
08114,2017,13.2,16.7
08114,2018,12.8,17.0
08114,2019,11.8,16.6
08114,2020,11.9,17.4
08114,2021,11.7,17.2
08114,2022,9.5,17.9
08114,2023,8.6,17.9
08121,2015,11.5,23.6
08121,2016,12.5,21.6
08121,2017,11.2,21.4
08121,2018,10.6,20.7
08121,2019,10.3,20.7
08121,2020,10.7,21.3
08121,2021,10.6,19.8
08121,2022,9.2,20.4
08121,2023,8.5,20.6
08124,2015,12.1,15.9
08124,2016,13.2,14.4
08124,2017,11.9,14.5
08124,2018,10.9,14.1
08124,2019,10.7,13.8
08124,2020,10.9,13.7
08124,2021,10.4,13.0
08124,2022,8.6,14.4
08124,2023,7.5,15.1
08125,2015,12.4,18.3
08125,2016,13.2,17.5
08125,2017,11.6,17.3
08125,2018,11.0,17.1
08125,2019,10.6,17.3
08125,2020,10.9,17.9
08125,2021,10.9,17.0
08125,2022,8.8,17.7
08125,2023,7.7,17.9
08163,2015,8.3,25.7
08163,2016,8.7,22.6
08163,2017,7.8,22.7
08163,2018,7.5,20.9
08163,2019,7.4,21.3
08163,2020,7.7,24.5
08163,2021,7.3,21.7
08163,2022,6.6,21.3
08163,2023,6.2,21.4
08169,2015,13.3,13.8
08169,2016,14.3,12.4
08169,2017,12.7,12.7
08169,2018,12.0,12.4
08169,2019,11.5,13.0
08169,2020,11.5,13.6
08169,2021,11.6,12.4
08169,2022,9.9,13.2
08169,2023,8.7,13.8
08172,2015,17.8,18.1
08172,2016,18.8,16.9
08172,2017,17.1,16.5
08172,2018,17.0,15.3
08172,2019,16.0,15.1
08172,2020,16.1,15.3
08172,2021,16.0,15.0
08172,2022,14.2,15.7
08172,2023,13.0,15.8
08180,2015,11.2,17.3
08180,2016,11.6,16.1
08180,2017,10.1,15.9
08180,2018,9.3,15.9
08180,2019,8.6,16.0
08180,2020,9.2,15.9
08180,2021,8.8,15.8
08180,2022,7.2,16.3
08180,2023,6.4,17.2
08184,2015,12.7,18.0
08184,2016,13.9,16.9
08184,2017,12.4,16.1
