cod_ine,anio_externo,alquiler_mediano_mensual,estado,unidad,uso
29015,2022,450.0,observado,EUR/mes,external_validation
29025,2022,600.0,observado,EUR/mes,external_validation
29051,2022,598.9,observado,EUR/mes,external_validation
29054,2022,600.0,observado,EUR/mes,external_validation
29067,2022,625.0,observado,EUR/mes,external_validation
29069,2022,700.0,observado,EUR/mes,external_validation
29070,2022,550.0,observado,EUR/mes,external_validation
29082,2022,603.9,observado,EUR/mes,external_validation
29084,2022,390.0,observado,EUR/mes,external_validation
29094,2022,470.5,observado,EUR/mes,external_validation
29901,2022,580.0,observado,EUR/mes,external_validation
30003,2022,379.2,observado,EUR/mes,external_validation
30005,2022,370.0,observado,EUR/mes,external_validation
30015,2022,340.0,observado,EUR/mes,external_validation
30016,2022,450.0,observado,EUR/mes,external_validation
30019,2022,306.4,observado,EUR/mes,external_validation
30022,2022,350.0,observado,EUR/mes,external_validation
30024,2022,400.0,observado,EUR/mes,external_validation
30026,2022,335.5,observado,EUR/mes,external_validation
30027,2022,450.0,observado,EUR/mes,external_validation
30030,2022,475.0,observado,EUR/mes,external_validation
30035,2022,380.2,observado,EUR/mes,external_validation
30037,2022,400.0,observado,EUR/mes,external_validation
30039,2022,350.0,observado,EUR/mes,external_validation
30043,2022,300.0,observado,EUR/mes,external_validation
31201,2022,491.0,observado,EUR/mes,external_validation
31232,2022,370.0,observado,EUR/mes,external_validation
32054,2022,386.2,observado,EUR/mes,external_validation
33004,2022,408.3,observado,EUR/mes,external_validation
33024,2022,475.0,observado,EUR/mes,external_validation
33031,2022,350.0,observado,EUR/mes,external_validation
33037,2022,350.0,observado,EUR/mes,external_validation
33044,2022,450.0,observado,EUR/mes,external_validation
33066,2022,400.0,observado,EUR/mes,external_validation
34120,2022,420.0,observado,EUR/mes,external_validation
35002,2022,450.6,observado,EUR/mes,external_validation
35004,2022,460.0,observado,EUR/mes,external_validation
35006,2022,461.3,observado,EUR/mes,external_validation
35011,2022,416.7,observado,EUR/mes,external_validation
35014,2022,491.8,observado,EUR/mes,external_validation
35016,2022,548.0,observado,EUR/mes,external_validation
35017,2022,448.8,observado,EUR/mes,external_validation
35019,2022,550.0,observado,EUR/mes,external_validation
35022,2022,450.0,observado,EUR/mes,external_validation
35026,2022,478.2,observado,EUR/mes,external_validation
36008,2022,400.0,observado,EUR/mes,external_validation
36026,2022,373.3,observado,EUR/mes,external_validation
36038,2022,470.0,observado,EUR/mes,external_validation
36045,2022,400.0,observado,EUR/mes,external_validation
36057,2022,500.0,observado,EUR/mes,external_validation
36060,2022,400.0,observado,EUR/mes,external_validation
37274,2022,475.0,observado,EUR/mes,external_validation
38001,2022,560.0,observado,EUR/mes,external_validation
38006,2022,500.0,observado,EUR/mes,external_validation
38011,2022,537.5,observado,EUR/mes,external_validation
38017,2022,500.0,observado,EUR/mes,external_validation
38023,2022,485.8,observado,EUR/mes,external_validation
38026,2022,450.0,observado,EUR/mes,external_validation
38028,2022,500.0,observado,EUR/mes,external_validation
38031,2022,447.3,observado,EUR/mes,external_validation
38038,2022,526.9,observado,EUR/mes,external_validation
39016,2022,480.0,observado,EUR/mes,external_validation
39020,2022,561.4,observado,EUR/mes,external_validation
39075,2022,533.8,observado,EUR/mes,external_validation
39087,2022,430.0,observado,EUR/mes,external_validation
40194,2022,500.0,observado,EUR/mes,external_validation
41004,2022,450.0,observado,EUR/mes,external_validation
41021,2022,475.0,observado,EUR/mes,external_validation
41024,2022,380.2,observado,EUR/mes,external_validation
41034,2022,400.0,observado,EUR/mes,external_validation
41038,2022,500.0,observado,EUR/mes,external_validation
41039,2022,310.2,observado,EUR/mes,external_validation
41053,2022,338.6,observado,EUR/mes,external_validation
41059,2022,600.0,observado,EUR/mes,external_validation
41065,2022,350.0,observado,EUR/mes,external_validation
41069,2022,358.8,observado,EUR/mes,external_validation
41081,2022,450.0,observado,EUR/mes,external_validation
41091,2022,600.0,observado,EUR/mes,external_validation
41095,2022,400.0,observado,EUR/mes,external_validation
42173,2022,486.0,observado,EUR/mes,external_validation
43038,2022,500.0,observado,EUR/mes,external_validation
43123,2022,461.8,observado,EUR/mes,external_validation
43148,2022,518.6,observado,EUR/mes,external_validation
43155,2022,380.0,observado,EUR/mes,external_validation
43163,2022,490.0,observado,EUR/mes,external_validation
43905,2022,490.8,observado,EUR/mes,external_validation
44216,2022,413.8,observado,EUR/mes,external_validation
45081,2022,550.0,observado,EUR/mes,external_validation
45165,2022,380.0,observado,EUR/mes,external_validation
45168,2022,510.4,observado,EUR/mes,external_validation
46005,2022,450.0,observado,EUR/mes,external_validation
46017,2022,400.0,observado,EUR/mes,external_validation
46021,2022,450.0,observado,EUR/mes,external_validation
46029,2022,350.0,observado,EUR/mes,external_validation
46078,2022,470.0,observado,EUR/mes,external_validation
46094,2022,460.0,observado,EUR/mes,external_validation
46102,2022,415.0,observado,EUR/mes,external_validation
46110,2022,433.8,observado,EUR/mes,external_validation
46131,2022,416.7,observado,EUR/mes,external_validation
46145,2022,380.0,observado,EUR/mes,external_validation
46159,2022,450.0,observado,EUR/mes,external_validation
46169,2022,491.9,observado,EUR/mes,external_validation
46181,2022,370.0,observado,EUR/mes,external_validation
46184,2022,350.0,observado,EUR/mes,external_validation
46190,2022,525.0,observado,EUR/mes,external_validation
46220,2022,431.0,observado,EUR/mes,external_validation
46235,2022,351.8,observado,EUR/mes,external_validation
46244,2022,480.0,observado,EUR/mes,external_validation
46250,2022,590.0,observado,EUR/mes,external_validation
47186,2022,493.3,observado,EUR/mes,external_validation
48013,2022,,sin_registro,EUR/mes,external_validation
48015,2022,,sin_registro,EUR/mes,external_validation
48020,2022,,sin_registro,EUR/mes,external_validation
48027,2022,,sin_registro,EUR/mes,external_validation
48036,2022,,sin_registro,EUR/mes,external_validation
48044,2022,,sin_registro,EUR/mes,external_validation
48054,2022,,sin_registro,EUR/mes,external_validation
48078,2022,,sin_registro,EUR/mes,external_validation
48082,2022,,sin_registro,EUR/mes,external_validation
48084,2022,,sin_registro,EUR/mes,external_validation
49275,2022,382.6,observado,EUR/mes,external_validation
50297,2022,500.0,observado,EUR/mes,external_validation
51001,2022,650.0,observado,EUR/mes,external_validation
52001,2022,587.6,observado,EUR/mes,external_validation
01059,2023,,sin_registro,EUR/mes,external_validation
02003,2023,500.0,observado,EUR/mes,external_validation
02009,2023,377.9,observado,EUR/mes,external_validation
02037,2023,340.0,observado,EUR/mes,external_validation
02081,2023,347.6,observado,EUR/mes,external_validation
03009,2023,366.7,observado,EUR/mes,external_validation
03014,2023,562.0,observado,EUR/mes,external_validation
03031,2023,512.5,observado,EUR/mes,external_validation
03047,2023,500.0,observado,EUR/mes,external_validation
03050,2023,600.9,observado,EUR/mes,external_validation
03059,2023,350.0,observado,EUR/mes,external_validation
03063,2023,521.5,observado,EUR/mes,external_validation
03065,2023,450.0,observado,EUR/mes,external_validation
03066,2023,380.0,observado,EUR/mes,external_validation
03082,2023,600.0,observado,EUR/mes,external_validation
03093,2023,394.4,observado,EUR/mes,external_validation
03099,2023,419.6,observado,EUR/mes,external_validation
03104,2023,392.5,observado,EUR/mes,external_validation
03121,2023,454.2,observado,EUR/mes,external_validation
03122,2023,541.7,observado,EUR/mes,external_validation
03133,2023,400.0,observado,EUR/mes,external_validation
03139,2023,475.0,observado,EUR/mes,external_validation
03140,2023,369.7,observado,EUR/mes,external_validation
04013,2023,500.0,observado,EUR/mes,external_validation
04066,2023,371.8,observado,EUR/mes,external_validation
04079,2023,423.2,observado,EUR/mes,external_validation
04902,2023,398.2,observado,EUR/mes,external_validation
05019,2023,450.0,observado,EUR/mes,external_validation
06011,2023,330.0,observado,EUR/mes,external_validation
06015,2023,460.0,observado,EUR/mes,external_validation
06044,2023,350.0,observado,EUR/mes,external_validation
06083,2023,400.0,observado,EUR/mes,external_validation
06153,2023,320.0,observado,EUR/mes,external_validation
07011,2023,725.0,observado,EUR/mes,external_validation
07015,2023,535.0,observado,EUR/mes,external_validation
07026,2023,891.0,observado,EUR/mes,external_validation
07027,2023,600.0,observado,EUR/mes,external_validation
07031,2023,700.0,observado,EUR/mes,external_validation
07032,2023,550.0,observado,EUR/mes,external_validation
07033,2023,500.0,observado,EUR/mes,external_validation
07036,2023,751.3,observado,EUR/mes,external_validation
07040,2023,750.0,observado,EUR/mes,external_validation
07054,2023,848.8,observado,EUR/mes,external_validation
08015,2023,700.0,observado,EUR/mes,external_validation
08019,2023,866.7,observado,EUR/mes,external_validation
08056,2023,875.0,observado,EUR/mes,external_validation
08073,2023,695.9,observado,EUR/mes,external_validation
08077,2023,767.5,observado,EUR/mes,external_validation
08089,2023,800.0,observado,EUR/mes,external_validation
08096,2023,663.7,observado,EUR/mes,external_validation
08101,2023,700.0,observado,EUR/mes,external_validation
08102,2023,509.0,observado,EUR/mes,external_validation
08113,2023,489.3,observado,EUR/mes,external_validation
08114,2023,612.5,observado,EUR/mes,external_validation
08121,2023,646.1,observado,EUR/mes,external_validation
08124,2023,650.0,observado,EUR/mes,external_validation
08125,2023,650.0,observado,EUR/mes,external_validation
08163,2023,550.0,observado,EUR/mes,external_validation
08169,2023,750.0,observado,EUR/mes,external_validation
08172,2023,701.9,observado,EUR/mes,external_validation
08180,2023,650.0,observado,EUR/mes,external_validation
08184,2023,663.1,observado,EUR/mes,external_validation
08187,2023,675.0,observado,EUR/mes,external_validation
08194,2023,701.9,observado,EUR/mes,external_validation
08196,2023,650.0,observado,EUR/mes,external_validation
08200,2023,700.0,observado,EUR/mes,external_validation
08205,2023,1045.2,observado,EUR/mes,external_validation
08211,2023,750.0,observado,EUR/mes,external_validation
08217,2023,780.0,observado,EUR/mes,external_validation
08231,2023,655.5,observado,EUR/mes,external_validation
08245,2023,630.0,observado,EUR/mes,external_validation
08252,2023,700.0,observado,EUR/mes,external_validation
08260,2023,660.4,observado,EUR/mes,external_validation
08263,2023,673.2,observado,EUR/mes,external_validation
08266,2023,735.0,observado,EUR/mes,external_validation
08270,2023,880.0,observado,EUR/mes,external_validation
08279,2023,630.0,observado,EUR/mes,external_validation
08298,2023,550.0,observado,EUR/mes,external_validation
08301,2023,750.0,observado,EUR/mes,external_validation
08305,2023,591.7,observado,EUR/mes,external_validation
08307,2023,675.0,observado,EUR/mes,external_validation
09018,2023,460.0,observado,EUR/mes,external_validation
09059,2023,500.0,observado,EUR/mes,external_validation
09219,2023,450.9,observado,EUR/mes,external_validation
10037,2023,450.0,observado,EUR/mes,external_validation
10148,2023,380.0,observado,EUR/mes,external_validation
11004,2023,500.0,observado,EUR/mes,external_validation
11006,2023,300.0,observado,EUR/mes,external_validation
11012,2023,623.9,observado,EUR/mes,external_validation
11015,2023,447.5,observado,EUR/mes,external_validation
11020,2023,500.0,observado,EUR/mes,external_validation
11022,2023,560.3,observado,EUR/mes,external_validation
11027,2023,502.1,observado,EUR/mes,external_validation
11028,2023,480.8,observado,EUR/mes,external_validation
11030,2023,500.0,observado,EUR/mes,external_validation
11031,2023,474.4,observado,EUR/mes,external_validation
