cod_ine,nombre,anio,ipr4_nacional_observado,ipr5_prospectivo,cuartil_ipr,anio_externo,alquiler_mediano_mensual,estado,unidad,uso
08211,Sant Feliu de Llobregat,2023,55.67984570877532,52.443762892194115,Q3,2023,750.0,observado,EUR/mes,external_validation
08217,Sant Joan Despí,2023,67.22275795564127,62.5532515470633,Q4,2023,780.0,observado,EUR/mes,external_validation
08231,Sant Pere de Ribes,2023,69.5274831243973,62.12816198024102,Q4,2023,655.5,observado,EUR/mes,external_validation
08245,Santa Coloma Gramanet,2023,64.68659594985536,56.52334165671479,Q4,2023,630.0,observado,EUR/mes,external_validation
08252,Barberà del Vallès,2023,49.98071359691418,46.854467484529366,Q2,2023,700.0,observado,EUR/mes,external_validation
08260,Santa Perpètua de Mogoda,2023,34.56123432979749,32.30751275648681,Q1,2023,660.4,observado,EUR/mes,external_validation
08263,Sant Vicenç dels Horts,2023,26.190935390549665,25.043752035609597,Q1,2023,673.2,observado,EUR/mes,external_validation
08266,Cerdanyola del Vallès,2023,54.368370298939254,48.89523395939637,Q3,2023,735.0,observado,EUR/mes,external_validation
08270,Sitges,2023,70.23143683702989,60.93844316578005,Q4,2023,880.0,observado,EUR/mes,external_validation
08279,Terrassa,2023,54.62873674059788,50.606611659971776,Q3,2023,630.0,observado,EUR/mes,external_validation
08298,Vic,2023,47.868852459016395,47.39382260340896,Q2,2023,550.0,observado,EUR/mes,external_validation
08301,Viladecans,2023,54.0983606557377,50.00678536532406,Q3,2023,750.0,observado,EUR/mes,external_validation
08305,Vilafranca del Penedès,2023,40.94503375120541,41.35957007925307,Q2,2023,591.7,observado,EUR/mes,external_validation
08307,Vilanova i la Geltrú,2023,72.72902603664417,65.59450656823364,Q4,2023,675.0,observado,EUR/mes,external_validation
09018,Aranda de Duero,2023,34.165863066538094,32.56747367278254,Q1,2023,460.0,observado,EUR/mes,external_validation
09059,Burgos,2023,45.38090646094504,41.802247312995334,Q2,2023,500.0,observado,EUR/mes,external_validation
09219,Miranda de Ebro,2023,13.799421407907428,13.120236673542504,Q1,2023,450.9,observado,EUR/mes,external_validation
10037,Cáceres,2023,33.9344262295082,39.72174573879058,Q1,2023,450.0,observado,EUR/mes,external_validation
10148,Plasencia,2023,24.908389585342334,35.675442405819126,Q1,2023,380.0,observado,EUR/mes,external_validation
11004,Algeciras,2023,55.44840887174542,59.59803495820215,Q3,2023,500.0,observado,EUR/mes,external_validation
11006,Arcos de la frontera,2023,40.73288331726133,41.377917707089345,Q2,2023,300.0,observado,EUR/mes,external_validation
11012,Cádiz,2023,78.37994214079075,,Q4,2023,623.9,observado,EUR/mes,external_validation
11015,Chiclana de la Frontera,2023,78.36065573770492,72.76549777440017,Q4,2023,447.5,observado,EUR/mes,external_validation
11020,Jerez de la Frontera,2023,68.69816779170685,70.0656280534144,Q4,2023,500.0,observado,EUR/mes,external_validation
11022,Línea de la Concepción (La),2023,61.44648023143685,62.01427640864184,Q3,2023,560.3,observado,EUR/mes,external_validation
11027,Puerto de Santa María,2023,82.41080038572807,77.25116708283574,Q4,2023,502.1,observado,EUR/mes,external_validation
11028,Puerto Real,2023,63.953712632594026,64.09575507545327,Q4,2023,480.8,observado,EUR/mes,external_validation
11030,Rota,2023,87.84956605593058,82.56948214091847,Q4,2023,500.0,observado,EUR/mes,external_validation
11031,San Fernando,2023,64.92767598842816,,Q4,2023,474.4,observado,EUR/mes,external_validation
11032,Sanlúcar de Barrameda,2023,70.79074252651881,64.79133644555422,Q4,2023,450.0,observado,EUR/mes,external_validation
11033,San Roque,2023,80.98360655737704,80.60758875257844,Q4,2023,600.0,observado,EUR/mes,external_validation
12009,Almazora/Almassora,2023,30.048216007714565,33.786016719140164,Q1,2023,400.0,observado,EUR/mes,external_validation
12027,Benicarló,2023,49.35390549662488,50.34485940723049,Q2,2023,350.0,observado,EUR/mes,external_validation
12032,Burriana,2023,36.856316297010615,38.72853110411464,Q2,2023,400.0,observado,EUR/mes,external_validation
12040,Castellón de la Plana,2023,45.08196721311476,46.763380740419066,Q2,2023,454.3,observado,EUR/mes,external_validation
12084,Onda,2023,25.94021215043395,31.585604168928455,Q1,2023,354.9,observado,EUR/mes,external_validation
12126,Vall d'Uixó (la),2023,12.391513982642238,13.959939203126698,Q1,2023,391.9,observado,EUR/mes,external_validation
12135,Villarreal/Vila-real,2023,17.560270009643205,23.270600369123876,Q1,2023,430.0,observado,EUR/mes,external_validation
12138,Vinaròs,2023,42.06364513018322,43.25409836065574,Q2,2023,400.0,observado,EUR/mes,external_validation
13005,Alcázar de San Juan,2023,13.3847637415622,23.694929975029854,Q1,2023,400.0,observado,EUR/mes,external_validation
