cod_ine,nombre,provincia,adaptecca_id,estado_mapeo
35006,Arucas,"Palmas, Las",5466,ok
35011,Ingenio,"Palmas, Las",5473,ok
35014,"Oliva, La","Palmas, Las",5476,ok
35016,"Palmas de Gran Canaria, Las","Palmas, Las",5480,ok
35017,Puerto del Rosario,"Palmas, Las",5481,ok
35019,San Bartolomé de Tirajana,"Palmas, Las",8260,ok
35022,Santa Lucía de Tirajana,"Palmas, Las",8258,ok
35026,Telde,"Palmas, Las",339,ok
36008,Cangas,Pontevedra,1540,ok
36026,Marín,Pontevedra,1544,ok
36038,Pontevedra,Pontevedra,108,ok
36045,Redondela,Pontevedra,1096,ok
36057,Vigo,Pontevedra,1528,ok
36060,Vilagarcía de Arousa,Pontevedra,1531,ok
37274,Salamanca,Salamanca,4426,ok
38001,Adeje,Santa Cruz de Tenerife,5452,ok
38006,Arona,Santa Cruz de Tenerife,5457,ok
38011,Candelaria,Santa Cruz de Tenerife,8265,ok
38017,Granadilla de Abona,Santa Cruz de Tenerife,8271,ok
38023,San Cristóbal de La Laguna,Santa Cruz de Tenerife,349,ok
38026,"Orotava, La",Santa Cruz de Tenerife,5482,ok
38028,Puerto de la Cruz,Santa Cruz de Tenerife,343,ok
38031,"Realejos, Los",Santa Cruz de Tenerife,5424,ok
38038,Santa Cruz de Tenerife,Santa Cruz de Tenerife,5429,ok
39016,Camargo,Cantabria,3272,ok
39020,Castro-Urdiales,Cantabria,840,ok
39075,Santander,Cantabria,1238,ok
39087,Torrelavega,Cantabria,3328,ok
40194,Segovia,Segovia,1293,ok
41004,Alcalá de Guadaíra,Sevilla,1839,ok
41021,Camas,Sevilla,2524,ok
41024,Carmona,Sevilla,1208,ok
41034,Coria del Río,Sevilla,2508,ok
41038,Dos Hermanas,Sevilla,2538,ok
41039,Écija,Sevilla,2539,ok
41053,Lebrija,Sevilla,1211,ok
41059,Mairena del Aljarafe,Sevilla,2554,ok
41065,Morón de la Frontera,Sevilla,354,ok
41069,"Palacios y Villafranca, Los",Sevilla,2560,ok
41081,"Rinconada, La",Sevilla,2576,ok
41091,Sevilla,Sevilla,2581,ok
41095,Utrera,Sevilla,2585,ok
42173,Soria,Soria,1298,ok
43038,Cambrils,Tarragona,1411,ok
43123,Reus,Tarragona,6649,ok
43148,Tarragona,Tarragona,593,ok
43155,Tortosa,Tarragona,595,ok
43163,"Vendrell, El",Tarragona,6684,ok
43905,Salou,Tarragona,1428,ok
44216,Teruel,Teruel,1230,ok
45081,Illescas,Toledo,1339,ok
45165,Talavera de la Reina,Toledo,729,ok
45168,Toledo,Toledo,728,ok
46005,Alaquàs,Valencia/València,1456,ok
46017,Alzira,Valencia/València,598,ok
46021,Aldaia,Valencia/València,1875,ok
46029,Algemesí,Valencia/València,852,ok
46078,Burjassot,Valencia/València,4210,ok
46094,Catarroja,Valencia/València,6973,ok
46102,Quart de Poblet,Valencia/València,6980,ok
46110,Xirivella,Valencia/València,6632,ok
46131,Gandia,Valencia/València,1461,ok
