cod_ine,anio,ipr,dqs,dqs_level,local_moran_i,p_value,p_value_fdr,quadrant,cluster_type,cluster_type_raw,is_significant,is_significant_raw,eligible,exclusion_reason,neighbor_count,neighbors,standardized_ipr,spatial_lag,spatial_lag_ipr,calculation_version,calculated_at
36045,2023,49.7589199614272,,,-0.08750547549047573,0.554,0.874601226993865,LH,NS,NS,False,False,True,,1,['36057'],-0.15435721804439603,0.5694909832232635,63.43297974927676,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
36057,2023,63.43297974927676,,,-0.08750547549047573,0.858,0.9453465346534654,HL,NS,NS,False,False,True,,1,['36045'],0.5694909832232635,-0.15435721804439603,49.7589199614272,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
36060,2023,58.80424300867888,,,,,,,NS,NS,False,False,False,sin_vecinos_queen,0,[],,,,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
37274,2023,53.095467695274834,,,,,,,NS,NS,False,False,False,sin_vecinos_queen,0,[],,,,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
38001,2023,84.74445515911282,,,0.29901136607210205,0.764,0.9442696629213483,HH,NS,NS,False,False,True,,2,"['38006', '38026']",1.697632397046626,0.17693860891097124,56.017357762777245,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
38006,2023,71.16682738669238,,,1.6542399165053796,0.098,0.5528205128205129,HH,NS,NS,False,False,True,,1,['38001'],0.9788889080587098,1.697632397046626,84.74445515911282,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
38011,2023,70.44358727097398,,,,,,,NS,NS,False,False,False,sin_vecinos_queen,0,[],,,,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
38017,2023,67.03953712632594,,,-0.47310311519677406,0.572,0.874601226993865,HL,NS,NS,False,False,True,,1,['38026'],0.7604072224856787,-0.6250116902367673,40.867888138862114,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
38023,2023,63.48119575699133,,,-0.1483600020402757,0.824,0.9453465346534654,HL,NS,NS,False,False,True,,1,['38038'],0.572043339363136,-0.2605352334630658,47.75313404050145,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
38026,2023,40.867888138862114,,,-0.7307563225004892,0.01,0.15714285714285714,LH,NS,LH,False,True,True,,4,"['38001', '38017', '38028', '38031']",-0.6250116902367673,1.1745270061798883,74.8625843780135,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
38028,2023,93.98264223722276,,,-0.6221155959933327,0.7,0.9110588235294118,HL,NS,NS,False,False,True,,2,"['38026', '38031']",2.1866638334460755,-0.2858035592477971,47.27579556412729,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
38031,2023,53.68370298939248,,,0.04151013794948734,0.264,0.8297142857142857,HH,NS,NS,False,False,True,,2,"['38026', '38028']",0.05340457174117308,0.7808260716046541,67.42526518804243,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
38038,2023,47.75313404050145,,,-0.14836000204027563,0.544,0.874601226993865,LH,NS,NS,False,False,True,,1,['38023'],-0.2605352334630658,0.572043339363136,63.48119575699133,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
39016,2023,27.830279652844744,,,-1.4660042661758568,0.24,0.7946268656716418,LH,NS,NS,False,False,True,,1,['39075'],-1.3151687904581193,1.1197789669796376,73.82835101253617,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
39020,2023,53.79942140790743,,,,,,,NS,NS,False,False,False,sin_vecinos_queen,0,[],,,,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
